,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600483.SH,20221101,10.65,11.0,10.65,10.87,10.7,0.16999999999999993,1.5888,117074.33,126285.878,0.6705,1.9173,1.06,16.7516,11.5759,1.1446,1.7592,1.7352,2.375,1.9319,195456.631,174602.5354,61062.2448,2124613.579,1897929.5598
1,1,600483.SH,20221031,10.82,10.85,10.51,10.7,10.72,-0.02000000000000135,-0.1866,77913.5,83534.016,0.4462,1.276,0.64,16.4896,11.3949,1.1267,1.7317,1.7081,2.4128,1.9626,195456.631,174602.5354,61062.2448,2091385.9517,1868247.1288
2,2,600483.SH,20221028,11.18,11.26,10.66,10.72,11.24,-0.5199999999999996,-4.6263,106931.69,116688.567,0.6124,1.7512,0.82,16.5205,11.4162,1.1288,1.7349,1.7113,2.4083,1.959,195456.631,174602.5354,61062.2448,2095295.0843,1871739.1795
3,3,600483.SH,20221027,11.45,11.59,11.2,11.24,11.45,-0.20999999999999908,-1.8341,136481.25,154732.243,0.7817,2.2351,1.11,17.3218,11.9699,1.1836,1.819,1.7943,2.2969,1.8683,195456.631,174602.5354,61062.2448,2196932.5324,1962532.4979
4,4,600483.SH,20221026,11.34,11.71,11.22,11.45,11.34,0.10999999999999943,0.97,128236.24,147750.818,0.7344,2.1001,1.11,17.6455,12.1936,1.2057,1.853,1.8278,2.2547,1.8341,195456.631,174602.5354,61062.2448,2237978.425,1999199.0303
5,5,600483.SH,20221025,11.31,11.47,11.12,11.34,11.4,-0.0600000000000005,-0.5263,102832.74,116034.651,0.589,1.6841,0.86,17.4759,12.0764,1.1941,1.8352,1.8102,2.2766,1.8519,195456.631,174602.5354,61062.2448,2216478.1955,1979992.7514
6,6,600483.SH,20221024,11.55,11.57,11.25,11.4,11.6,-0.1999999999999993,-1.7241,135812.7,154457.247,0.7778,2.2242,1.01,17.5684,12.1403,1.2234,1.8449,1.8198,2.2646,1.8421,195456.631,174602.5354,61062.2448,2228205.5934,1990468.9036
7,7,600483.SH,20221021,11.25,11.84,11.2,11.6,11.2,0.40000000000000036,3.5714,149903.86,174401.985,0.8585,2.4549,1.25,17.8766,12.3533,1.2449,1.8773,1.8517,2.2256,1.8103,195456.631,174602.5354,61062.2448,2267296.9196,2025389.4106
8,8,600483.SH,20221020,11.37,11.46,11.11,11.2,11.42,-0.22000000000000064,-1.9264,99571.1,112330.108,0.5703,1.6306,0.85,17.2602,14.8434,1.202,1.8126,1.8745,2.3051,1.875,195456.631,174602.5354,61062.2448,2189114.2672,1955548.3965
9,9,600483.SH,20221019,11.77,11.78,11.4,11.42,11.79,-0.3699999999999992,-3.1383,90023.0,103959.116,0.5156,1.4743,0.77,17.5992,15.135,1.2256,1.8482,1.9113,2.2607,1.8389,195456.631,174602.5354,61062.2448,2232114.726,1993960.9543
