,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600985.SH,20221101,13.01,13.22,12.87,13.22,13.03,0.19000000000000128,1.4582,239806.48,312779.4,0.9666,2.7313,0.92,6.8612,5.161,1.0391,0.5049,0.4447,4.5312,5.295,248103.5925,248103.5925,87800.063,3279929.4929,3279929.4929
1,1,600985.SH,20221031,13.37,13.56,12.93,13.03,13.48,-0.45000000000000107,-3.3383,291356.99,383680.109,1.1743,3.3184,1.23,6.7626,5.0868,1.0241,0.4977,0.4383,4.5973,5.3722,248103.5925,248103.5925,87800.063,3232789.8103,3232789.8103
2,2,600985.SH,20221028,13.86,14.08,13.45,13.48,14.43,-0.9499999999999993,-6.5835,359875.05,494730.142,1.4505,4.0988,1.85,6.9962,5.2625,1.0595,0.5148,0.4535,4.4438,5.1929,248103.5925,248103.5925,87800.063,3344436.4269,3344436.4269
3,3,600985.SH,20221027,14.35,14.71,14.35,14.43,14.31,0.11999999999999922,0.8386,208802.34,303618.154,0.8416,2.3782,1.05,7.4892,6.1465,1.2067,0.5511,0.4746,4.1512,4.851,248103.5925,248103.5925,87800.063,3580134.8398,3580134.8398
4,4,600985.SH,20221026,14.56,14.8,14.16,14.31,14.6,-0.28999999999999915,-1.9863,238191.54,344453.774,0.96,2.7129,1.09,7.4269,6.0954,1.1967,0.5465,0.4706,4.1861,4.8917,248103.5925,248103.5925,87800.063,3550362.4087,3550362.4087
5,5,600985.SH,20221025,15.08,15.35,14.49,14.6,15.12,-0.5199999999999996,-3.4392,208042.32,306414.734,0.8385,2.3695,0.97,7.5774,6.2189,1.2209,0.5576,0.4802,4.1029,4.7945,248103.5925,248103.5925,87800.063,3622312.4505,3622312.4505
6,6,600985.SH,20221024,15.42,15.53,14.94,15.12,15.54,-0.41999999999999993,-2.7027,170069.79,259217.685,0.6855,1.937,0.76,7.8473,6.4404,1.2644,0.5775,0.4973,3.9618,4.6296,248103.5925,248103.5925,87800.063,3751326.3186,3751326.3186
7,7,600985.SH,20221021,15.16,15.72,15.11,15.54,15.35,0.1899999999999995,1.2378,149665.34,232488.231,0.6032,1.7046,0.65,8.0653,6.6193,1.2996,0.5935,0.5111,3.8547,4.5045,248103.5925,248103.5925,87800.063,3855529.8275,3855529.8275
8,8,600985.SH,20221020,15.56,15.86,15.25,15.35,15.93,-0.5800000000000001,-3.6409,224701.68,349629.16,0.9057,2.5592,0.98,7.9667,6.5384,1.2837,0.5863,0.5048,3.9024,4.5603,248103.5925,248103.5925,87800.063,3808390.1449,3808390.1449
9,9,600985.SH,20221019,15.7,16.71,15.42,15.93,15.72,0.20999999999999908,1.3359,338694.62,545603.73,1.3651,3.8576,1.68,8.2677,6.7854,1.3322,0.6084,0.5239,3.7604,4.3942,248103.5925,248103.5925,87800.063,3952290.2285,3952290.2285
10,10,600985.SH,20221018,15.77,15.95,15.47,15.72,15.77,-0.049999999999998934,-0.3171,193483.56,303800.284,0.7798,2.2037,0.98,8.1587,6.696,1.3146,0.6004,0.517,3.8106,4.4529,248103.5925,248103.5925,87800.063,3900188.4741,3900188.4741
11,11,600985.SH,20221017,15.9,15.99,15.23,15.77,16.2,-0.4299999999999997,-2.6543,205048.47,319906.339,0.8265,2.3354,0.88,8.1847,6.7173,1.3188,0.6023,0.5186,3.7985,4.4388,248103.5925,248103.5925,87800.063,3912593.6537,3912593.6537
12,12,600985.SH,20221014,16.31,16.35,16.01,16.2,16.23,-0.030000000000001137,-0.1848,196935.86,318588.271,0.7938,2.243,0.7,8.4078,6.9004,1.3547,0.6187,0.5328,3.6977,4.321,248103.5925,248103.5925,87800.063,4019278.1985,4019278.1985
13,13,600985.SH,20221013,16.9,16.9,16.12,16.23,16.94,-0.7100000000000009,-4.1913,214664.86,350738.933,0.8652,2.4449,0.68,8.4234,6.9132,1.3573,0.6199,0.5338,3.6909,4.313,248103.5925,248103.5925,87800.063,4026721.3063,4026721.3063
14,14,600985.SH,20221012,16.91,16.97,16.4,16.94,16.9,0.0400000000000027,0.2367,198408.29,330656.742,0.7997,2.2598,0.66,8.7919,7.2156,1.4166,0.647,0.5571,3.5362,4.1322,248103.5925,248103.5925,87800.063,4202874.857,4202874.857
15,15,600985.SH,20221011,17.08,17.25,16.61,16.9,17.1,-0.20000000000000284,-1.1696,175882.91,297077.057,0.7089,2.0032,0.58,8.7711,7.1986,1.4133,0.6455,0.5558,3.5445,4.142,248103.5925,248103.5925,87800.063,4192950.7133,4192950.7133
16,16,600985.SH,20221010,16.98,17.6,16.9,17.1,16.85,0.25,1.4837,377933.79,651290.543,1.5233,4.3045,1.43,8.8749,7.2838,1.43,0.6531,0.5624,3.5031,4.0936,248103.5925,248103.5925,87800.063,4242571.4318,4242571.4318
17,17,600985.SH,20220930,15.85,16.97,15.83,16.85,15.98,0.870000000000001,5.4443,444753.19,737955.98,1.7926,5.0655,2.1,8.7452,7.1773,1.4091,0.6435,0.5542,3.555,4.1543,248103.5925,248103.5925,87800.063,4180545.5336,4180545.5336
18,18,600985.SH,20220929,15.09,16.05,15.0,15.98,14.8,1.1799999999999997,7.973,387588.82,608940.232,1.5622,4.4144,2.11,8.2937,6.8067,1.3364,0.6103,0.5255,3.7486,4.3805,248103.5925,248103.5925,87800.063,3964695.4082,3964695.4082
19,19,600985.SH,20220928,14.87,15.05,14.66,14.8,14.84,-0.03999999999999915,-0.2695,126554.44,187477.036,0.5101,1.4414,0.69,7.6812,6.3041,1.2377,0.5653,0.4867,4.0475,4.7297,248103.5925,248103.5925,87800.063,3671933.169,3671933.169
