,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600566.SH,20221101,32.31,32.83,31.3,32.18,32.53,-0.3500000000000014,-1.0759,182711.87,583544.825,2.0376,5.4848,0.83,16.8988,14.2459,2.8491,3.8073,3.58,1.3759,2.0791,90279.4486,89672.0486,33312.4668,2905192.6559,2885646.5239
1,1,600566.SH,20221031,30.49,33.0,29.76,32.53,30.51,2.0199999999999996,6.6208,240443.96,758748.159,2.6814,7.2178,1.03,17.0825,14.4008,2.8801,3.8487,3.6189,1.3611,2.0568,90279.4486,89672.0486,33312.4668,2936790.463,2917031.741
2,2,600566.SH,20221028,30.75,31.86,30.46,30.51,31.38,-0.8699999999999974,-2.7725,169513.0,526273.415,1.8904,5.0886,0.76,16.0218,13.5066,2.7012,3.6098,3.3942,1.4512,2.1929,90279.4486,89672.0486,33312.4668,2754425.9768,2735894.2028
3,3,600566.SH,20221027,29.85,31.83,29.24,31.38,29.81,1.5700000000000003,5.2667,231743.64,712901.438,2.6089,7.1373,1.15,16.3247,13.762,2.8049,3.678,3.4584,1.4242,2.1522,89436.1479,88828.7479,32469.1661,2806506.3211,2787446.1091
4,4,600566.SH,20221026,27.77,30.3,27.72,29.81,28.26,1.5499999999999972,5.4848,230800.69,684723.404,2.5983,7.1083,1.19,15.508,13.0734,2.6646,3.494,3.2853,1.4993,2.2656,89436.1479,88828.7479,32469.1661,2666091.5689,2647984.9749
5,5,600566.SH,20221025,28.78,29.41,28.14,28.26,29.3,-1.0399999999999991,-3.5495,229378.31,656629.502,2.5823,7.0645,1.22,14.7016,12.3937,2.526,3.3123,3.1145,1.5815,2.3899,89436.1479,88828.7479,32469.1661,2527465.5397,2510300.4157
6,6,600566.SH,20221024,29.61,30.75,29.02,29.3,28.78,0.5199999999999996,1.8068,300429.32,896932.594,3.3821,9.2528,1.77,15.2426,12.8498,2.619,3.4342,3.2291,1.5254,2.305,89436.1479,88828.7479,32469.1661,2620479.1335,2602682.3135
7,7,600566.SH,20221021,28.25,29.08,28.09,28.78,28.4,0.38000000000000256,1.338,124747.78,357107.177,1.4044,3.842,0.69,14.9721,13.6848,2.7023,3.3733,3.2951,1.5529,2.3467,89436.1479,88828.7479,32469.1661,2573972.3366,2556491.3646
8,8,600566.SH,20221020,28.64,29.23,28.4,28.4,28.79,-0.39000000000000057,-1.3546,119905.02,344607.539,1.3498,3.6929,0.65,14.7744,13.5041,2.6666,3.3287,3.2516,1.5737,2.3781,89436.1479,88828.7479,32469.1661,2539986.6004,2522736.4404
9,9,600566.SH,20221019,28.83,29.57,28.3,28.79,29.06,-0.2699999999999996,-0.9291,192272.56,551868.759,2.1645,5.9217,1.08,14.9773,13.6895,2.7032,3.3744,3.2963,1.5524,2.3459,89436.1479,88828.7479,32469.1661,2574866.698,2557379.652
10,10,600566.SH,20221018,27.86,29.37,27.55,29.06,27.85,1.2099999999999973,4.3447,199239.03,572423.813,2.243,6.1363,1.27,15.1178,13.8179,2.7286,3.4061,3.3272,1.538,2.3241,89436.1479,88828.7479,32469.1661,2599014.458,2581363.414
11,11,600566.SH,20221017,27.64,28.55,27.26,27.85,27.0,0.8500000000000014,3.1481,213965.85,598023.691,2.4087,6.5898,1.44,14.4883,13.2426,2.615,3.2643,3.1886,1.6048,2.425,89436.1479,88828.7479,32469.1661,2490796.719,2473880.629
12,12,600566.SH,20221014,25.65,27.2,25.59,27.0,25.58,1.4200000000000017,5.5512,177151.57,474017.083,1.9943,5.456,1.43,14.0461,12.8384,2.5352,3.1646,3.0913,1.6553,2.5014,89436.1479,88828.7479,32469.1661,2414775.9933,2398376.1933
13,13,600566.SH,20221013,24.09,25.99,24.08,25.58,24.37,1.2099999999999973,4.9651,142433.98,361631.029,1.6035,4.3867,1.29,13.3074,12.1632,2.4018,2.9982,2.9287,1.7472,2.6402,89436.1479,88828.7479,32469.1661,2287776.6633,2272239.3713
14,14,600566.SH,20221012,23.78,24.73,23.76,24.37,23.88,0.490000000000002,2.0519,156920.43,382934.037,1.7666,4.8329,1.76,12.6779,11.5879,2.2882,2.8564,2.7902,1.8339,2.7713,89436.1479,88828.7479,32469.1661,2179558.9243,2164756.5863
15,15,600566.SH,20221011,24.1,24.18,23.47,23.88,24.25,-0.370000000000001,-1.5258,92040.41,218906.192,1.0362,2.8347,1.11,12.423,11.3549,2.2422,2.7989,2.7341,1.8716,2.8282,89436.1479,88828.7479,32469.1661,2135735.2119,2121230.4999
16,16,600566.SH,20221010,23.2,24.49,23.19,24.25,22.91,1.3399999999999999,5.849,172151.42,412434.11,1.938,5.302,3.05,12.6155,11.5308,2.2769,2.8423,2.7765,1.843,2.7851,89436.1479,88828.7479,32469.1661,2168826.5866,2154097.1366
17,17,600566.SH,20220930,22.76,23.11,22.54,22.91,22.7,0.21000000000000085,0.9251,53807.99,123285.864,0.6057,1.6572,0.98,11.9184,10.8936,2.1511,2.6852,2.623,1.9508,2.948,89436.1479,88828.7479,32469.1661,2048982.1484,2035066.6144
18,18,600566.SH,20220929,22.65,23.38,22.51,22.7,22.46,0.23999999999999844,1.0686,76439.54,175753.387,0.8605,2.3542,1.61,11.8091,10.7938,2.1314,2.6606,2.599,1.9689,2.9752,89436.1479,88828.7479,32469.1661,2030200.5573,2016412.5773
19,19,600566.SH,20220928,22.63,22.91,22.35,22.46,22.66,-0.1999999999999993,-0.8826,52497.79,118640.47,0.591,1.6169,1.07,11.6049,10.6071,2.1162,2.6146,2.554,2.0035,3.0276,88828.1891,88828.1891,32468.6073,1995081.1272,1995081.1272
20,20,600566.SH,20220927,21.52,22.66,21.45,22.66,21.51,1.1499999999999986,5.3464,59030.65,131225.487,0.6645,1.8181,1.19,11.7082,10.7015,2.135,2.6379,2.5768,1.9858,3.0009,88828.1891,88828.1891,32468.6073,2012846.765,2012846.765
21,21,600566.SH,20220926,22.0,22.0,21.42,21.51,22.07,-0.5599999999999987,-2.5374,40742.52,88132.853,0.4587,1.2548,0.75,11.114,10.1584,2.0266,2.504,2.446,2.092,3.1613,88828.1891,88828.1891,32468.6073,1910694.3475,1910694.3475
22,22,600566.SH,20220923,22.4,22.44,21.7,22.07,22.38,-0.3099999999999987,-1.3852,45092.88,99595.573,0.5076,1.3888,0.73,11.4034,10.4229,2.0794,2.5692,2.5097,2.0389,3.0811,88828.1891,88828.1891,32468.6073,1960438.1334,1960438.1334
23,23,600566.SH,20220922,22.39,22.64,22.1,22.38,22.26,0.11999999999999744,0.5391,39432.0,88513.123,0.4439,1.2145,0.59,11.5635,10.5693,2.1086,2.6053,2.5449,2.0107,3.0384,88828.1891,88828.1891,32468.6073,1987974.8721,1987974.8721
24,24,600566.SH,20220921,22.28,22.87,22.16,22.26,22.36,-0.09999999999999787,-0.4472,61895.39,139418.998,0.6968,1.9063,0.92,11.5015,10.5126,2.0973,2.5913,2.5313,2.0215,3.0548,88828.1891,88828.1891,32468.6073,1977315.4894,1977315.4894
25,25,600566.SH,20220920,21.83,22.45,21.63,22.36,21.78,0.5799999999999983,2.663,61197.89,135478.589,0.6889,1.8848,0.91,11.5532,10.5598,2.1067,2.603,2.5427,2.0125,3.0411,88828.1891,88828.1891,32468.6073,1986198.3083,1986198.3083
26,26,600566.SH,20220919,21.29,21.92,21.29,21.78,21.23,0.5500000000000007,2.5907,63824.72,138412.136,0.7185,1.9657,1.01,11.2535,10.2859,2.0521,2.5355,2.4767,2.0661,3.1221,88828.1891,88828.1891,32468.6073,1934677.9586,1934677.9586
27,27,600566.SH,20220916,22.24,22.24,21.23,21.23,22.24,-1.009999999999998,-4.5414,81161.18,175847.547,0.9137,2.4997,1.43,10.9693,10.0262,2.0003,2.4714,2.4142,2.1196,3.203,88828.1891,88828.1891,32468.6073,1885822.4546,1885822.4546
28,28,600566.SH,20220915,22.8,23.07,21.95,22.24,22.85,-0.610000000000003,-2.6696,67610.52,151816.299,0.7611,2.0823,1.25,11.4912,10.5032,2.0954,2.589,2.529,2.0233,3.0575,88828.1891,88828.1891,32468.6073,1975538.9256,1975538.9256
29,29,600566.SH,20220914,23.0,23.0,22.47,22.85,23.2,-0.34999999999999787,-1.5086,63939.57,145405.203,0.7198,1.9693,1.23,11.8064,10.7912,2.1529,2.66,2.5984,1.9693,2.9759,88828.1891,88828.1891,32468.6073,2029724.1209,2029724.1209
30,30,600566.SH,20220913,23.05,23.38,22.9,23.2,23.07,0.129999999999999,0.5635,58118.97,134859.412,0.6543,1.79,1.1,11.9872,10.9565,2.1859,2.7008,2.6382,1.9396,2.931,88828.1891,88828.1891,32468.6073,2060813.9871,2060813.9871
31,31,600566.SH,20220909,22.8,23.1,22.8,23.07,22.8,0.2699999999999996,1.1842,45223.09,103995.178,0.5091,1.3928,0.8,11.9201,10.8951,2.1736,2.6856,2.6234,1.9505,2.9475,88828.1891,88828.1891,32468.6073,2049266.3225,2049266.3225
32,32,600566.SH,20220908,23.04,23.1,22.75,22.8,22.96,-0.16000000000000014,-0.6969,49638.33,113698.123,0.5588,1.5288,0.86,11.7805,10.7676,2.1482,2.6542,2.5927,1.9736,2.9824,88828.1891,88828.1891,32468.6073,2025282.7115,2025282.7115
33,33,600566.SH,20220907,23.22,23.26,22.89,22.96,23.28,-0.3200000000000003,-1.3746,53065.3,122071.007,0.5974,1.6344,0.89,11.8632,10.8432,2.1633,2.6728,2.6109,1.9599,2.9617,88828.1891,88828.1891,32468.6073,2039495.2217,2039495.2217
34,34,600566.SH,20220906,22.99,23.39,22.76,23.28,22.85,0.4299999999999997,1.8818,53928.27,124798.066,0.6071,1.6609,0.91,12.0286,10.9943,2.1934,2.7101,2.6473,1.9329,2.921,88828.1891,88828.1891,32468.6073,2067920.2422,2067920.2422
35,35,600566.SH,20220905,23.02,23.16,22.63,22.85,23.02,-0.16999999999999815,-0.7385,61876.0,141191.488,0.6966,1.9057,1.06,11.8064,10.7912,2.1529,2.66,2.5984,1.9693,2.9759,88828.1891,88828.1891,32468.6073,2029724.1209,2029724.1209
36,36,600566.SH,20220902,22.95,23.48,22.95,23.02,22.95,0.07000000000000028,0.305,65025.51,150528.797,0.732,2.0027,1.14,11.8942,10.8715,2.1689,2.6798,2.6177,1.9548,2.9539,88828.1891,88828.1891,32468.6073,2044824.9131,2044824.9131
37,37,600566.SH,20220901,23.01,23.27,22.91,22.95,23.06,-0.10999999999999943,-0.477,56360.12,129978.72,0.6345,1.7358,0.98,11.858,10.8385,2.1623,2.6717,2.6098,1.9607,2.963,88828.1891,88828.1891,32468.6073,2038606.9398,2038606.9398
38,38,600566.SH,20220831,23.2,23.5,22.88,23.06,23.23,-0.1700000000000017,-0.7318,60510.53,140379.279,0.6812,1.8637,1.0,11.9149,10.8904,2.1727,2.6845,2.6223,1.9514,2.9488,88828.1891,88828.1891,32468.6073,2048378.0406,2048378.0406
39,39,600566.SH,20220830,23.11,23.38,22.9,23.23,23.11,0.120000000000001,0.5193,53094.57,122890.06,0.5977,1.6353,0.76,12.0027,10.9707,2.1887,2.7042,2.6416,1.9371,2.9272,88828.1891,88828.1891,32468.6073,2063478.8328,2063478.8328
