,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,601866.SH,20221101,2.43,2.49,2.43,2.48,2.44,0.040000000000000036,1.6393,341447.93,84043.172,0.4141,0.9016,0.96,5.5321,5.7896,1.1593,0.9078,1.0832,1.8073,9.1129,1358647.7301,824516.8478,378697.3303,3369446.3706,2044801.7825
1,1,601866.SH,20221031,2.45,2.47,2.42,2.44,2.47,-0.03000000000000025,-1.2146,356616.35,87071.232,0.4325,0.93,0.93,5.4429,5.6963,1.1406,0.8931,1.0658,1.8369,9.2623,1358647.7301,824516.8478,383454.4092,3315100.4614,2011821.1086
2,2,601866.SH,20221028,2.54,2.54,2.46,2.47,2.55,-0.07999999999999963,-3.1373,421624.14,105466.699,0.5114,1.0995,1.03,5.5098,5.2766,1.2092,0.9041,0.9334,1.8146,9.1498,1358647.7301,824516.8478,383454.4092,3355859.8933,2036556.6141
3,3,601866.SH,20221027,2.54,2.57,2.53,2.55,2.55,0.0,0.0,320589.7,81855.455,0.3888,0.8361,0.58,5.6883,5.4475,1.2484,0.9334,0.9636,1.7577,8.8627,1358647.7301,824516.8478,383454.4092,3464551.7118,2102517.9619
4,4,601866.SH,20221026,2.53,2.57,2.53,2.55,2.54,0.009999999999999787,0.3937,337482.28,85874.294,0.4093,0.8801,0.43,5.6883,5.4475,1.2484,0.9334,0.9636,1.7577,8.8627,1358647.7301,824516.8478,383454.4092,3464551.7118,2102517.9619
5,5,601866.SH,20221025,2.51,2.56,2.5,2.54,2.51,0.03000000000000025,1.1952,334380.22,84596.803,0.4055,0.872,0.42,5.666,5.4261,1.2435,0.9297,0.9598,1.7646,8.8976,1358647.7301,824516.8478,383454.4092,3450965.2345,2094272.7934
6,6,601866.SH,20221024,2.59,2.61,2.5,2.51,2.58,-0.07000000000000028,-2.7132,508287.92,129809.255,0.6165,1.3255,0.66,5.5991,5.362,1.2288,0.9187,0.9485,1.7857,9.004,1358647.7301,824516.8478,383454.4092,3410205.8026,2069537.288
7,7,601866.SH,20221021,2.6,2.62,2.56,2.58,2.62,-0.040000000000000036,-1.5267,550381.09,142498.965,0.6675,1.4353,0.73,5.7552,5.5116,1.2631,0.9444,0.9749,1.7373,8.7597,1358647.7301,824516.8478,383454.4092,3505311.1437,2127253.4673
8,8,601866.SH,20221020,2.7,2.7,2.59,2.62,2.72,-0.10000000000000009,-3.6765,1012225.56,265509.049,1.2277,2.6398,1.62,5.8444,5.597,1.2827,0.959,0.9901,1.7107,8.626,1358647.7301,824516.8478,383454.4092,3559657.0529,2160234.1412
9,9,601866.SH,20221019,2.54,2.78,2.54,2.72,2.55,0.17000000000000037,6.6667,1530137.16,409680.753,1.8558,3.9904,3.69,6.0675,5.8106,1.3316,0.9956,1.0278,1.6478,8.3088,1358647.7301,824516.8478,383454.4092,3695521.8259,2242685.826
10,10,601866.SH,20221018,2.55,2.57,2.54,2.55,2.55,0.0,0.0,334096.84,85212.073,0.4052,0.8713,0.78,5.6883,5.4475,1.2484,0.9334,0.9636,1.7577,8.8627,1358647.7301,824516.8478,383454.4092,3464551.7118,2102517.9619
11,11,601866.SH,20221017,2.53,2.56,2.49,2.55,2.53,0.020000000000000018,0.7905,421471.06,106540.905,0.5112,1.0991,1.0,5.6883,5.4475,1.2484,0.9334,0.9636,1.7577,8.8627,1358647.7301,824516.8478,383454.4092,3464551.7118,2102517.9619
12,12,601866.SH,20221014,2.5,2.55,2.5,2.53,2.49,0.03999999999999959,1.6064,469665.86,118957.922,0.5696,1.2248,1.11,5.6437,5.4047,1.2386,0.9261,0.9561,1.7716,8.9328,1358647.7301,824516.8478,383454.4092,3437378.7572,2086027.6249
13,13,601866.SH,20221013,2.5,2.51,2.48,2.49,2.51,-0.019999999999999574,-0.7968,370314.97,92327.333,0.4491,0.9657,0.8,5.5544,5.3193,1.219,0.9114,0.9409,1.8,9.0763,1358647.7301,824516.8478,383454.4092,3383032.8479,2053046.951
14,14,601866.SH,20221012,2.49,2.52,2.43,2.51,2.5,0.009999999999999787,0.4,476766.38,118049.175,0.5782,1.2433,0.97,5.5991,5.362,1.2288,0.9187,0.9485,1.7857,9.004,1358647.7301,824516.8478,383454.4092,3410205.8026,2069537.288
