,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,603127.SH,20221101,58.19,62.24,58.19,62.04,57.19,4.850000000000001,8.4805,106832.6,643960.429,2.3772,4.5843,1.28,59.5542,35.2624,4.307,21.8893,17.1459,0.2853,0.4136,53512.3409,44941.0409,23304.2154,3319905.6294,2788142.1774
1,1,603127.SH,20221031,60.44,60.59,56.14,57.19,61.1,-3.9100000000000037,-6.3993,103077.83,597759.145,2.2936,4.4231,1.39,54.8985,32.5057,3.9703,20.1781,15.8055,0.3095,0.4487,53512.3409,44941.0409,23304.2154,3060370.7761,2570178.1291
2,2,603127.SH,20221028,63.96,64.75,60.5,61.1,63.95,-2.8500000000000014,-4.4566,84918.45,530709.488,1.8896,3.6294,1.23,58.6519,42.1969,4.3933,21.5576,18.5878,0.2897,0.42,53512.3409,44941.0409,23397.4134,3269604.029,2745897.599
3,3,603127.SH,20221027,64.1,65.69,62.15,63.95,62.15,1.8000000000000043,2.8962,123459.09,786609.297,2.7471,5.2766,1.92,61.3877,44.1652,4.5982,22.5632,19.4548,0.2768,0.4013,53512.3409,44941.0409,23397.4134,3422114.2006,2873979.5656
4,4,603127.SH,20221026,56.89,62.15,56.89,62.15,56.5,5.649999999999999,10.0,44822.92,272859.511,0.9974,1.9157,0.55,59.6598,42.9221,4.4688,21.9281,18.9072,0.2848,0.4129,53512.3409,44941.0409,23397.4134,3325791.9869,2793085.6919
5,5,603127.SH,20221025,57.03,58.27,55.68,56.5,57.66,-1.1599999999999966,-2.0118,59699.98,338582.592,1.3284,2.5516,0.74,54.2362,39.0201,4.0626,19.9346,17.1884,0.3133,0.4542,53512.3409,44941.0409,23397.4134,3023447.2609,2539168.8109
6,6,603127.SH,20221024,60.25,61.12,57.4,57.66,60.32,-2.6600000000000037,-4.4098,58491.76,343390.522,1.3015,2.4999,0.72,55.3497,39.8212,4.146,20.3439,17.5413,0.307,0.445,53512.3409,44941.0409,23397.4134,3085521.5763,2591300.4183
7,7,603127.SH,20221021,58.72,61.22,58.32,60.32,59.66,0.6600000000000037,1.1063,58552.88,349860.853,1.3029,2.5025,0.69,57.9031,41.6582,4.3372,21.2824,18.3505,0.2934,0.4254,53512.3409,44941.0409,23397.4134,3227864.4031,2710843.5871
8,8,603127.SH,20221020,60.75,63.48,59.46,59.66,62.11,-2.450000000000003,-3.9446,99576.54,611212.337,2.2157,4.2559,1.34,57.2696,41.2024,4.2898,21.0496,18.1497,0.2967,0.4301,53512.3409,44941.0409,23397.4134,3192546.2581,2681182.5001
9,9,603127.SH,20221019,64.98,65.94,61.6,62.11,61.0,1.1099999999999994,1.8197,132485.66,835939.188,2.948,5.6624,2.29,59.6214,42.8944,4.4659,21.914,18.8951,0.285,0.4132,53512.3409,44941.0409,23397.4134,3323651.4933,2791288.0503
