,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600966.SH,20221101,6.53,6.74,6.49,6.72,6.52,0.20000000000000018,3.0675,58545.83,38718.386,0.4379,0.856,0.93,5.2669,22.3683,1.3018,0.5519,0.494,1.8601,3.7974,133684.4288,133684.4288,68397.8451,898359.3615,898359.3615
1,1,600966.SH,20221031,6.61,6.68,6.48,6.52,6.67,-0.15000000000000036,-2.2489,64563.37,42317.057,0.483,0.9439,1.02,5.1101,21.7026,1.2631,0.5355,0.4793,1.9172,3.9139,133684.4288,133684.4288,68397.8451,871622.4758,871622.4758
2,2,600966.SH,20221028,6.96,6.96,6.6,6.67,6.99,-0.3200000000000003,-4.578,58269.56,39502.725,0.4359,0.8519,0.91,5.2277,14.2894,1.2843,0.5478,0.5202,1.8741,3.8259,133684.4288,133684.4288,68397.8451,891675.1401,891675.1401
3,3,600966.SH,20221027,6.75,7.1,6.66,6.99,6.68,0.3100000000000005,4.6407,96199.6,66228.812,0.7196,1.4065,1.8,5.4785,14.9749,1.3459,0.5741,0.5452,1.7883,3.6507,133684.4288,133684.4288,68397.8451,934454.1573,934454.1573
4,4,600966.SH,20221026,6.58,6.75,6.58,6.68,6.55,0.1299999999999999,1.9847,57057.72,38169.048,0.4268,0.8342,1.17,5.2355,14.3108,1.2862,0.5487,0.521,1.8713,3.8201,133684.4288,133684.4288,68397.8451,893011.9844,893011.9844
5,5,600966.SH,20221025,6.51,6.56,6.42,6.55,6.55,0.0,0.0,38352.64,24889.646,0.2869,0.5607,0.81,5.1336,14.0323,1.2612,0.538,0.5108,1.9084,3.896,133684.4288,133684.4288,68397.8451,875633.0086,875633.0086
6,6,600966.SH,20221024,6.68,6.76,6.49,6.55,6.68,-0.1299999999999999,-1.9461,68112.59,44961.824,0.5095,0.9958,1.72,5.1336,14.0323,1.2612,0.538,0.5108,1.9084,3.896,133684.4288,133684.4288,68397.8451,875633.0086,875633.0086
7,7,600966.SH,20221021,6.81,6.87,6.66,6.68,6.8,-0.1200000000000001,-1.7647,62043.38,41803.222,0.4641,0.9071,1.81,5.2355,14.3108,1.2862,0.5487,0.521,1.8713,3.8201,133684.4288,133684.4288,68397.8451,893011.9844,893011.9844
8,8,600966.SH,20221020,6.9,6.92,6.79,6.8,6.9,-0.10000000000000053,-1.4493,42009.02,28685.494,0.3142,0.6142,1.34,5.3296,14.5679,1.3093,0.5585,0.5303,1.8382,3.7527,133684.4288,133684.4288,68397.8451,909054.1158,909054.1158
9,9,600966.SH,20221019,7.01,7.01,6.89,6.9,7.01,-0.10999999999999943,-1.5692,33340.28,23138.06,0.2494,0.4874,1.0,5.4079,14.7821,1.3286,0.5667,0.5381,1.8116,3.6983,133684.4288,133684.4288,68397.8451,922422.5587,922422.5587
