,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,601567.SH,20221101,13.94,14.18,13.58,14.1,13.77,0.33000000000000007,2.3965,140583.05,194901.449,1.0139,2.1456,0.71,28.7699,27.4044,2.138,2.8268,2.2507,2.4445,2.2706,140797.6553,138656.9053,65522.767,1985246.9397,1955062.3647
1,1,601567.SH,20221031,13.43,13.88,13.24,13.77,13.44,0.33000000000000007,2.4554,134650.88,183810.369,0.9711,2.055,0.71,28.0966,26.763,2.0879,2.7607,2.198,2.5031,2.325,140797.6553,138656.9053,65522.767,1938783.7135,1909305.586
2,2,601567.SH,20221028,14.05,14.44,13.35,13.44,14.01,-0.5700000000000003,-4.0685,217282.9,300144.114,1.5671,3.3161,1.24,27.4232,26.1216,2.0379,2.6945,2.1453,2.5646,2.3821,140797.6553,138656.9053,65522.767,1892320.4872,1863548.8072
3,3,601567.SH,20221027,14.41,14.66,13.72,14.01,13.7,0.3100000000000005,2.2628,330609.58,470837.422,2.3844,5.0457,2.23,28.5863,27.2295,2.1243,2.8088,2.2363,2.4602,2.2852,140797.6553,138656.9053,65522.767,1972575.1508,1942583.2433
4,4,601567.SH,20221026,12.99,13.94,12.83,13.7,12.97,0.7299999999999986,5.6284,186066.03,251327.407,1.3419,2.8397,1.38,27.9538,35.639,2.1845,2.7466,2.3886,2.5159,2.3369,140797.6553,138656.9053,65522.767,1928927.8776,1899599.6026
5,5,601567.SH,20221025,13.15,13.42,12.9,12.97,13.4,-0.4299999999999997,-3.209,127792.37,167001.423,0.9216,1.9504,0.92,26.4642,33.74,2.0681,2.6003,2.2613,2.6575,2.4684,140797.6553,138656.9053,65522.767,1826145.5892,1798380.0617
6,6,601567.SH,20221024,13.78,14.06,13.23,13.4,13.85,-0.4499999999999993,-3.2491,91843.27,124375.076,0.6624,1.4017,0.61,27.3416,34.8586,2.1367,2.6865,2.3363,2.5722,2.3892,140797.6553,138656.9053,65522.767,1886688.581,1858002.531
7,7,601567.SH,20221021,13.63,13.88,13.46,13.85,13.59,0.2599999999999998,1.9132,141743.73,194890.718,1.0223,2.1633,0.77,28.2598,36.0292,2.2085,2.7767,2.4147,2.4887,2.3116,140797.6553,138656.9053,65522.767,1950047.5259,1920398.1384
8,8,601567.SH,20221020,13.23,13.98,13.11,13.59,13.37,0.22000000000000064,1.6455,195479.55,267042.362,1.4098,2.9834,1.05,27.7293,35.3528,2.167,2.7246,2.3694,2.5363,2.3558,140797.6553,138656.9053,65522.767,1913440.1355,1884347.343
9,9,601567.SH,20221019,13.59,13.68,13.19,13.37,13.66,-0.2900000000000009,-2.123,118417.35,158856.898,0.854,1.8073,0.62,27.2804,34.7805,2.1319,2.6805,2.331,2.578,2.3946,140797.6553,138656.9053,65522.767,1882464.6514,1853842.8239
10,10,601567.SH,20221018,13.3,13.82,13.11,13.66,13.32,0.33999999999999986,2.5526,146368.41,199388.031,1.0556,2.2339,0.85,27.8721,35.5349,2.1782,2.7386,2.3816,2.5233,2.3437,140797.6553,138656.9053,65522.767,1923295.9714,1894053.3264
11,11,601567.SH,20221017,13.15,13.45,12.99,13.32,13.24,0.08000000000000007,0.6042,151791.57,201798.001,1.0947,2.3166,0.88,27.1784,34.6504,2.1239,2.6704,2.3223,2.5877,2.4036,140797.6553,138656.9053,65522.767,1875424.7686,1846909.9786
12,12,601567.SH,20221014,12.6,13.55,12.4,13.24,12.5,0.7400000000000002,5.92,306454.75,404177.904,2.2102,4.6771,2.41,27.0152,34.4423,2.1112,2.6544,2.3084,2.6033,2.4181,140797.6553,138656.9053,65522.767,1864160.9562,1835817.4262
13,13,601567.SH,20221013,12.3,13.0,12.27,12.5,12.05,0.4499999999999993,3.7344,211846.68,266343.183,1.5278,3.2332,1.89,25.5052,32.5173,1.9932,2.506,2.1793,2.7574,2.5612,140797.6553,138656.9053,65522.767,1759970.6913,1733211.3163
14,14,601567.SH,20221012,10.99,12.05,10.75,12.05,10.95,1.1000000000000014,10.0457,135228.58,155064.927,0.9753,2.0638,1.31,24.5871,31.3467,1.9214,2.4158,2.1009,2.8604,2.6569,140797.6553,138656.9053,65522.767,1696611.7464,1670815.7089
15,15,601567.SH,20221011,10.96,11.12,10.8,10.95,11.03,-0.08000000000000007,-0.7253,55887.82,61298.319,0.4031,0.853,0.48,22.3426,28.4852,1.746,2.1953,1.9091,3.1477,2.9238,140797.6553,138656.9053,65522.767,1541734.3255,1518293.113
16,16,601567.SH,20221010,11.38,11.48,10.6,11.03,11.44,-0.41000000000000014,-3.5839,148942.23,162753.259,1.0742,2.2731,1.4,22.5058,28.6933,1.7588,2.2113,1.9231,3.1249,2.9026,140797.6553,138656.9053,65522.767,1552998.138,1529385.6655
