,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600803.SH,20221101,15.45,15.81,15.41,15.79,15.48,0.3099999999999987,2.0026,70144.5,109440.972,0.4801,0.8321,0.76,11.9288,12.0798,3.469,0.4221,0.3425,1.1047,1.7848,309866.2607,146103.9371,84293.6981,4892788.2565,2306981.1668
1,1,600803.SH,20221031,16.04,16.16,15.26,15.48,16.3,-0.8200000000000003,-5.0307,146576.24,227943.574,1.0032,1.7389,2.03,11.6946,11.8426,3.4009,0.4138,0.3358,1.1268,1.8205,309866.2607,146103.9371,84293.6981,4796729.7156,2261688.9463
2,2,600803.SH,20221028,16.34,16.43,16.02,16.3,16.34,-0.03999999999999915,-0.2448,52052.03,84388.819,0.3563,0.6175,0.75,12.3141,14.19,2.6979,0.4357,0.3684,1.0701,1.729,309866.2607,146103.9371,84293.6981,5050820.0494,2381494.1747
3,3,600803.SH,20221027,16.26,16.52,16.22,16.34,16.33,0.010000000000001563,0.0612,65909.48,107986.324,0.4511,0.7819,0.96,12.3443,14.2249,2.7045,0.4368,0.3693,1.0675,1.7247,309866.2607,146103.9371,84293.6981,5063214.6998,2387338.3322
4,4,600803.SH,20221026,16.64,16.88,16.3,16.33,16.79,-0.46000000000000085,-2.7397,110463.68,181638.378,0.7561,1.3105,1.6,12.3368,14.2162,2.7028,0.4365,0.3691,1.0682,1.7258,309866.2607,146103.9371,84293.6981,5060116.0372,2385877.2928
5,5,600803.SH,20221025,17.22,17.26,16.58,16.79,17.2,-0.41000000000000014,-2.3837,87072.73,146627.777,0.596,1.033,1.18,12.6843,14.6166,2.779,0.4488,0.3795,1.0389,1.6785,309866.2607,146103.9371,84293.6981,5202654.5172,2453085.1039
6,6,600803.SH,20221024,17.23,17.6,17.18,17.2,17.4,-0.1999999999999993,-1.1494,45757.68,79539.499,0.3132,0.5428,0.52,12.994,14.9735,2.8468,0.4598,0.3887,1.0141,1.6385,309866.2607,146103.9371,84293.6981,5329699.684,2512987.7181
7,7,600803.SH,20221021,17.42,17.51,17.18,17.4,17.42,-0.020000000000003126,-0.1148,39354.94,68373.881,0.2694,0.4669,0.35,13.1451,15.1477,2.8799,0.4651,0.3933,1.0025,1.6197,309866.2607,146103.9371,84293.6981,5391672.9362,2542208.5055
8,8,600803.SH,20221020,16.8,17.51,16.78,17.42,16.98,0.4400000000000013,2.5913,61623.7,106432.247,0.4218,0.7311,0.51,13.1602,15.1651,2.8832,0.4657,0.3937,1.0013,1.6178,309866.2607,146103.9371,84293.6981,5397870.2614,2545130.5843
9,9,600803.SH,20221019,17.5,17.5,16.95,16.98,17.58,-0.5999999999999979,-3.413,111719.68,191808.137,0.7647,1.3254,0.91,12.8278,14.782,2.8104,0.4539,0.3838,1.0273,1.6597,309866.2607,146103.9371,84293.6981,5261529.1067,2480844.852
10,10,600803.SH,20221018,17.88,17.9,17.28,17.58,17.97,-0.39000000000000057,-2.1703,111412.0,196257.408,0.7626,1.3217,0.87,13.2811,15.3044,2.9097,0.4699,0.3973,0.9922,1.6031,309866.2607,146103.9371,84293.6981,5447448.8631,2568507.2142
11,11,600803.SH,20221017,18.35,18.55,17.77,17.97,18.77,-0.8000000000000007,-4.2621,119653.75,215638.75,0.819,1.4195,0.85,13.5757,15.6439,2.9743,0.4804,0.4061,0.9707,1.5683,309866.2607,146103.9371,84293.6981,5568296.7048,2625487.7497
12,12,600803.SH,20221014,18.27,18.9,18.04,18.77,18.53,0.23999999999999844,1.2952,164337.39,305006.502,1.1248,1.9496,1.35,14.1801,16.3403,3.1067,0.5017,0.4242,0.9293,1.5014,309866.2607,146103.9371,84293.6981,5816189.7133,2742370.8994
13,13,600803.SH,20221013,18.68,18.73,17.97,18.53,19.1,-0.5700000000000003,-2.9843,99666.94,183039.773,0.6822,1.1824,0.78,13.9988,16.1314,3.067,0.4953,0.4188,0.9413,1.5209,309866.2607,146103.9371,84293.6981,5741821.8108,2707305.9545
14,14,600803.SH,20221012,19.35,19.35,18.53,19.1,19.88,-0.7799999999999976,-3.9235,120678.1,227767.446,0.826,1.4316,0.93,14.4294,16.6276,3.1613,0.5106,0.4317,0.9132,1.4755,309866.2607,146103.9371,84293.6981,5918445.5794,2790585.1986
15,15,600803.SH,20221011,19.51,19.88,18.57,19.88,19.87,0.00999999999999801,0.0503,134561.26,257559.64,0.921,1.5963,1.17,15.0187,17.3066,3.2904,0.5314,0.4493,0.8774,1.4176,309866.2607,146103.9371,84293.6981,6160141.2627,2904546.2695
16,16,600803.SH,20221010,18.92,19.87,18.73,19.87,18.56,1.3100000000000023,7.0582,183455.82,356009.24,1.2557,2.1764,1.95,15.0111,17.2979,3.2887,0.5311,0.4491,0.8779,1.4183,309866.2607,146103.9371,84293.6981,6157042.6001,2903085.2302
17,17,600803.SH,20220930,19.08,19.08,18.56,18.56,19.1,-0.5400000000000027,-2.8272,69823.26,130942.79,0.4779,0.8283,0.71,14.0215,16.1575,3.0719,0.4961,0.4195,0.9398,1.5184,309866.2607,146103.9371,84293.6981,5751117.7986,2711689.0726
18,18,600803.SH,20220929,18.85,19.43,18.56,19.1,18.92,0.17999999999999972,0.9514,129207.65,246615.976,0.8844,1.5328,1.4,14.4294,16.6276,3.1613,0.5106,0.4317,0.9132,1.4755,309866.2607,146103.9371,84293.6981,5918445.5794,2790585.1986
19,19,600803.SH,20220928,19.35,19.49,18.33,18.92,18.56,0.360000000000003,1.9397,134331.33,253411.814,0.9194,1.5936,1.58,14.2934,16.4709,3.1315,0.5058,0.4276,0.9219,1.4895,309866.2607,146103.9371,84293.6981,5862669.6524,2764286.4899
20,20,600803.SH,20220927,18.57,18.69,18.1,18.56,18.49,0.07000000000000028,0.3786,58408.93,107610.854,0.3998,0.6929,0.66,14.0215,16.1575,3.0719,0.4961,0.4195,0.9398,1.5184,309866.2607,146103.9371,84293.6981,5751117.7986,2711689.0726
21,21,600803.SH,20220926,18.9,19.03,18.4,18.49,19.12,-0.6300000000000026,-3.295,78928.23,146995.736,0.5402,0.9363,0.86,13.9686,16.0966,3.0603,0.4943,0.4179,0.9434,1.5242,309866.2607,146103.9371,84293.6981,5729427.1603,2701461.797
22,22,600803.SH,20220923,18.99,19.6,18.9,19.12,19.04,0.08000000000000185,0.4202,92917.07,178655.48,0.636,1.1023,0.95,14.4445,16.645,3.1646,0.5111,0.4321,0.9123,1.474,309866.2607,146103.9371,84293.6981,5924642.9046,2793507.2774
23,23,600803.SH,20220922,18.49,19.3,18.41,19.04,18.77,0.2699999999999996,1.4385,96682.91,183330.005,0.6617,1.147,1.04,14.3841,16.5754,3.1514,0.509,0.4303,0.9161,1.4802,309866.2607,146103.9371,84293.6981,5899853.6037,2781818.9624
24,24,600803.SH,20220921,18.35,19.08,18.09,18.77,18.35,0.41999999999999815,2.2888,97961.57,183067.965,0.6705,1.1621,1.12,14.1801,16.3403,3.1067,0.5017,0.4242,0.9293,1.5014,309866.2607,146103.9371,84293.6981,5816189.7133,2742370.8994
25,25,600803.SH,20220920,18.17,18.41,17.93,18.35,18.17,0.17999999999999972,0.9906,79211.29,144331.185,0.5422,0.9397,0.78,13.8628,15.9747,3.0372,0.4905,0.4147,0.9506,1.5358,309866.2607,146103.9371,84293.6981,5686045.8838,2681007.2458
26,26,600803.SH,20220919,18.26,18.45,17.77,18.17,18.29,-0.11999999999999744,-0.6561,92212.01,166669.455,0.6311,1.0939,0.92,13.7268,15.818,3.0074,0.4857,0.4107,0.96,1.551,309866.2607,146103.9371,84293.6981,5630269.9569,2654708.5371
27,27,600803.SH,20220916,19.48,19.53,18.15,18.29,19.24,-0.9499999999999993,-4.9376,120784.02,225223.194,0.8267,1.4329,1.22,13.8175,15.9225,3.0272,0.4889,0.4134,0.9537,1.5408,309866.2607,146103.9371,84293.6981,5667453.9082,2672241.0096
28,28,600803.SH,20220915,19.85,20.0,19.11,19.24,19.7,-0.46000000000000085,-2.335,72697.03,141057.777,0.4976,0.8624,0.66,14.5352,16.7495,3.1845,0.5143,0.4348,0.9066,1.4648,309866.2607,146103.9371,84293.6981,5961826.8559,2811039.7498
29,29,600803.SH,20220914,19.29,19.95,19.29,19.7,19.84,-0.14000000000000057,-0.7056,72691.97,142893.758,0.4975,0.8624,0.54,14.8827,17.1499,3.2606,0.5266,0.4452,0.8854,1.4306,309866.2607,146103.9371,84293.6981,6104365.3358,2878247.5609
30,30,600803.SH,20220913,20.39,20.39,19.22,19.84,20.4,-0.5599999999999987,-2.7451,147758.48,291135.321,1.0113,1.7529,1.02,14.9885,17.2718,3.2838,0.5303,0.4484,0.8792,1.4205,309866.2607,146103.9371,84293.6981,6147746.6123,2898702.1121
31,31,600803.SH,20220909,20.0,20.56,19.86,20.4,20.22,0.17999999999999972,0.8902,86943.22,176506.147,0.5951,1.0314,0.59,15.4115,17.7593,3.3765,0.5453,0.4611,0.855,1.3815,309866.2607,146103.9371,84293.6981,6321271.7183,2980520.3168
