,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,601311.SH,20221101,8.55,8.9,8.51,8.88,8.53,0.3500000000000014,4.1032,148984.46,130585.071,1.27,2.0822,1.01,12.5243,22.7991,1.2135,0.8399,0.8116,2.1454,2.4775,117314.6118,117314.6118,71550.2078,1041753.7528,1041753.7528
1,1,601311.SH,20221031,8.3,8.6,8.22,8.53,8.34,0.1899999999999995,2.2782,139397.31,117801.634,1.1882,1.9482,0.96,12.0306,21.9005,1.1656,0.8068,0.7796,2.2334,2.5791,117314.6118,117314.6118,71550.2078,1000693.6387,1000693.6387
2,2,601311.SH,20221028,8.85,8.85,8.31,8.34,8.85,-0.5099999999999998,-5.7627,181547.6,154785.35,1.5475,2.5373,1.36,11.7626,21.4127,1.1397,0.7888,0.7623,2.2843,2.6379,117314.6118,117314.6118,71550.2078,978403.8624,978403.8624
3,3,601311.SH,20221027,9.0,9.14,8.84,8.85,9.06,-0.21000000000000085,-2.3179,150191.59,134553.832,1.2802,2.0991,1.05,12.4819,22.7221,1.2094,0.8371,0.8089,2.1526,2.4859,117314.6118,117314.6118,71550.2078,1038234.3144,1038234.3144
4,4,601311.SH,20221026,8.9,9.17,8.82,9.06,8.91,0.15000000000000036,1.6835,138447.16,124973.446,1.1801,1.9588,0.82,12.7781,20.0701,1.2543,0.8569,0.866,2.1027,2.4283,117314.6118,117314.6118,70678.1543,1062870.3829,1062870.3829
5,5,601311.SH,20221025,8.85,9.05,8.58,8.91,8.88,0.02999999999999936,0.3378,126135.11,111289.855,1.0752,1.7846,0.68,12.5666,19.7378,1.2335,0.8427,0.8517,2.1381,2.4691,117314.6118,117314.6118,70678.1543,1045273.1911,1045273.1911
6,6,601311.SH,20221024,9.01,9.15,8.76,8.88,9.01,-0.129999999999999,-1.4428,132977.53,119568.569,1.1335,1.8815,0.72,12.5243,19.6713,1.2294,0.8399,0.8488,2.1454,2.4775,117314.6118,117314.6118,70678.1543,1041753.7528,1041753.7528
7,7,601311.SH,20221021,8.94,9.13,8.91,9.01,9.0,0.009999999999999787,0.1111,121869.06,110024.078,1.0388,1.7243,0.66,12.7076,19.9593,1.2474,0.8522,0.8612,2.1144,2.4417,117314.6118,117314.6118,70678.1543,1057004.6523,1057004.6523
8,8,601311.SH,20221020,9.1,9.15,8.79,9.0,9.25,-0.25,-2.7027,195518.14,174920.951,1.6666,2.7663,1.15,12.6935,19.9372,1.246,0.8512,0.8603,2.1168,2.4444,117314.6118,117314.6118,70678.1543,1055831.5062,1055831.5062
9,9,601311.SH,20221019,9.08,9.47,9.08,9.25,9.07,0.17999999999999972,1.9846,268073.17,249314.735,2.2851,3.7929,1.87,13.0461,20.491,1.2806,0.8749,0.8842,2.0596,2.3784,117314.6118,117314.6118,70678.1543,1085160.1592,1085160.1592
10,10,601311.SH,20221018,8.95,9.26,8.91,9.07,8.89,0.17999999999999972,2.0247,210808.78,191326.016,1.797,2.9827,1.68,12.7922,20.0922,1.2557,0.8579,0.867,2.1004,2.4256,117314.6118,117314.6118,70678.1543,1064043.529,1064043.529
11,11,601311.SH,20221017,8.79,8.9,8.71,8.89,8.88,0.009999999999999787,0.1126,123448.99,109062.653,1.0523,1.7466,0.96,12.5384,19.6935,1.2307,0.8408,0.8498,2.143,2.4747,117314.6118,117314.6118,70678.1543,1042926.8989,1042926.8989
12,12,601311.SH,20221014,8.82,8.91,8.71,8.88,8.7,0.1800000000000015,2.069,129612.62,114518.558,1.1048,1.8338,1.07,12.5243,19.6713,1.2294,0.8399,0.8488,2.1454,2.4775,117314.6118,117314.6118,70678.1543,1041753.7528,1041753.7528
