,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600580.SH,20221101,12.52,12.9,12.5,12.89,12.45,0.4400000000000013,3.5341,193689.65,247000.367,1.4838,2.422,1.14,17.158,15.3764,1.9106,1.2107,1.1474,1.1523,1.158,131489.2586,130535.0586,79970.2637,1694896.5434,1682596.9054
1,1,600580.SH,20221031,12.01,12.66,12.01,12.45,11.94,0.5099999999999998,4.2714,178386.97,221886.288,1.3666,2.2307,1.04,16.5723,14.8515,1.8453,1.1694,1.1082,1.193,1.199,131489.2586,130535.0586,79970.2637,1637041.2696,1625161.4796
2,2,600580.SH,20221028,12.53,12.62,11.86,11.94,12.61,-0.6699999999999999,-5.3132,188539.02,230240.006,1.4444,2.3576,1.2,15.8935,14.7032,1.9148,1.1215,1.0867,1.244,1.2502,131489.2586,130535.0586,79970.2637,1569981.7477,1558588.5997
3,3,600580.SH,20221027,12.97,13.15,12.59,12.61,12.89,-0.28000000000000114,-2.1722,172293.51,220858.585,1.3199,2.1545,1.07,16.7853,15.5283,2.0223,1.1844,1.1477,1.1779,1.1838,131489.2586,130535.0586,79970.2637,1658079.5509,1646047.0889
4,4,600580.SH,20221026,12.8,13.04,12.62,12.89,12.71,0.17999999999999972,1.4162,157485.31,202849.963,1.2065,1.9693,0.87,17.158,15.8731,2.0672,1.2107,1.1732,1.1523,1.158,131489.2586,130535.0586,79970.2637,1694896.5434,1682596.9054
5,5,600580.SH,20221025,12.71,12.88,12.3,12.71,12.69,0.02000000000000135,0.1576,153195.22,192741.227,1.1736,1.9157,0.71,16.9184,15.6514,2.0383,1.1938,1.1568,1.1686,1.1744,131489.2586,130535.0586,79970.2637,1671228.4768,1659100.5948
6,6,600580.SH,20221024,12.81,13.17,12.56,12.69,12.9,-0.21000000000000085,-1.6279,182390.61,234510.999,1.3973,2.2807,0.84,16.8918,15.6268,2.0351,1.1919,1.155,1.1704,1.1763,131489.2586,130535.0586,79970.2637,1668598.6916,1656489.8936
7,7,600580.SH,20221021,12.88,13.05,12.8,12.9,12.9,0.0,0.0,118001.24,152421.984,0.904,1.4756,0.51,17.1713,15.8854,2.0688,1.2117,1.1741,1.1514,1.1571,131489.2586,130535.0586,79970.2637,1696211.4359,1683902.2559
8,8,600580.SH,20221020,13.05,13.11,12.65,12.9,13.14,-0.2400000000000002,-1.8265,193382.25,249023.536,1.4815,2.4182,0.85,17.1713,15.8854,2.0688,1.2117,1.1741,1.1514,1.1571,131489.2586,130535.0586,79970.2637,1696211.4359,1683902.2559
9,9,600580.SH,20221019,13.11,13.56,13.06,13.14,13.12,0.02000000000000135,0.1524,260200.82,346195.882,1.9933,3.2537,1.27,17.4908,16.181,2.1073,1.2342,1.1959,1.1304,1.136,131489.2586,130535.0586,79970.2637,1727768.858,1715230.67
10,10,600580.SH,20221018,12.79,13.55,12.67,13.12,12.73,0.3899999999999988,3.0636,321165.8,420812.324,2.4604,4.0161,1.93,17.4642,16.1563,2.1041,1.2323,1.1941,1.1321,1.1377,131489.2586,130535.0586,79970.2637,1725139.0728,1712619.9688
11,11,600580.SH,20221017,12.27,12.79,12.22,12.73,12.44,0.2900000000000009,2.3312,186626.41,234835.111,1.4297,2.3337,1.2,16.945,15.6761,2.0415,1.1957,1.1586,1.1668,1.1726,131489.2586,130535.0586,79970.2637,1673858.262,1661711.296
12,12,600580.SH,20221014,12.36,12.6,12.22,12.44,12.31,0.129999999999999,1.0561,187905.99,233754.695,1.4395,2.3497,1.25,16.559,15.319,1.995,1.1684,1.1322,1.194,1.1999,131489.2586,130535.0586,79970.2637,1635726.377,1623856.129
13,13,600580.SH,20221013,12.12,12.38,12.12,12.31,12.18,0.13000000000000078,1.0673,178823.41,219356.606,1.3699,2.2361,1.19,16.386,15.1589,1.9742,1.1562,1.1204,1.2066,1.2126,131489.2586,130535.0586,79970.2637,1618632.7734,1606886.5714
14,14,600580.SH,20221012,11.7,12.24,11.53,12.18,11.62,0.5600000000000005,4.8193,151569.93,179690.517,1.1611,1.8953,1.04,16.2129,14.9988,1.9533,1.144,1.1086,1.2194,1.2255,131489.2586,130535.0586,79970.2637,1601539.1697,1589917.0137
15,15,600580.SH,20221011,11.44,11.71,11.38,11.62,11.36,0.2599999999999998,2.2887,125683.28,145607.51,0.9628,1.5716,0.87,15.4675,14.3092,1.8635,1.0914,1.0576,1.2782,1.2846,131489.2586,130535.0586,79970.2637,1527905.1849,1516817.3809
