,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600556.SH,20221101,6.02,6.19,5.97,6.19,6.0,0.1900000000000004,3.1667,190681.96,116184.793,1.7872,2.2755,1.31,31.5845,36.8967,2.9515,2.4802,2.5623,0.2649,0.3231,180774.7642,106693.6171,83799.6253,1118995.7904,660433.4898
1,1,600556.SH,20221031,5.83,6.04,5.81,6.0,5.83,0.16999999999999993,2.916,143636.26,85477.114,1.3462,1.7419,1.01,30.615,35.7642,2.8609,2.4041,2.4836,0.2733,0.3333,180774.7642,106693.6171,82457.9051,1084648.5852,640161.7026
2,2,600556.SH,20221028,6.11,6.11,5.78,5.83,6.11,-0.28000000000000025,-4.5827,144012.78,85413.307,1.3498,1.7465,1.07,29.7476,33.8054,2.8034,2.336,2.3687,0.2813,0.3431,180774.7642,106693.6171,82457.9051,1053916.8753,622023.7877
3,3,600556.SH,20221027,6.0,6.15,5.98,6.11,6.0,0.11000000000000032,1.8333,164940.53,100569.226,1.5459,2.0003,1.29,31.1763,35.429,2.938,2.4482,2.4825,0.2684,0.3273,180774.7642,106693.6171,82457.9051,1104533.8093,651898.0005
4,4,600556.SH,20221026,5.81,6.02,5.8,6.0,5.76,0.2400000000000002,4.1667,167389.97,99536.729,1.5689,2.03,1.55,30.615,34.7912,2.8851,2.4041,2.4378,0.2733,0.3333,180774.7642,106693.6171,82457.9051,1084648.5852,640161.7026
5,5,600556.SH,20221025,5.83,5.97,5.69,5.76,5.85,-0.08999999999999986,-1.5385,106687.78,61662.961,0.9999,1.2938,1.01,29.3904,33.3995,2.7697,2.3079,2.3403,0.2847,0.3472,180774.7642,106693.6171,82457.9051,1041262.6418,614555.2345
6,6,600556.SH,20221024,6.03,6.17,5.81,5.85,5.99,-0.14000000000000057,-2.3372,126804.0,75975.787,1.1885,1.5378,1.29,29.8497,33.9214,2.813,2.344,2.3768,0.2803,0.3419,180774.7642,106693.6171,82457.9051,1057532.3706,624157.66
7,7,600556.SH,20221021,6.1,6.15,5.96,5.99,6.14,-0.14999999999999947,-2.443,110128.0,66379.572,1.0322,1.3356,1.18,30.564,34.7332,2.8803,2.4001,2.4337,0.2738,0.3339,180774.7642,106693.6171,82457.9051,1082840.8376,639094.7664
8,8,600556.SH,20221020,6.07,6.24,6.06,6.14,6.07,0.0699999999999994,1.1532,127417.0,78354.963,1.1942,1.5452,1.47,31.3294,35.603,2.9524,2.4602,2.4947,0.2671,0.3257,180774.7642,106693.6171,82457.9051,1109957.0522,655098.809
9,9,600556.SH,20221019,6.17,6.17,6.06,6.07,6.17,-0.09999999999999964,-1.6207,70399.0,42959.65,0.6598,0.8538,0.77,30.9722,35.1971,2.9188,2.4321,2.4662,0.2702,0.3295,180774.7642,106693.6171,82457.9051,1097302.8187,647630.2558
10,10,600556.SH,20221018,6.28,6.28,6.16,6.17,6.22,-0.04999999999999982,-0.8039,91492.0,56546.638,0.8575,1.1096,1.05,31.4825,35.7769,2.9669,2.4722,2.5069,0.2658,0.3241,180774.7642,106693.6171,82457.9051,1115380.2951,658299.6175
11,11,600556.SH,20221017,6.11,6.25,6.08,6.22,6.11,0.10999999999999943,1.8003,92614.09,57270.453,0.868,1.1232,1.08,31.7376,36.0669,2.9909,2.4922,2.5272,0.2637,0.3215,180774.7642,106693.6171,82457.9051,1124419.0333,663634.2984
12,12,600556.SH,20221014,6.1,6.15,6.05,6.11,6.02,0.09000000000000075,1.495,84852.0,51871.95,0.7953,1.029,1.02,31.1763,35.429,2.938,2.4482,2.4825,0.2684,0.3273,180774.7642,106693.6171,82457.9051,1104533.8093,651898.0005
13,13,600556.SH,20221013,5.98,6.1,5.93,6.02,5.97,0.04999999999999982,0.8375,93037.71,56081.445,0.872,1.1283,1.15,30.7171,34.9072,2.8947,2.4121,2.4459,0.2724,0.3322,180774.7642,106693.6171,82457.9051,1088264.0805,642295.5749
14,14,600556.SH,20221012,5.8,6.0,5.72,5.97,5.75,0.21999999999999975,3.8261,97760.27,57159.801,0.9163,1.1856,1.26,30.462,34.6172,2.8707,2.3921,2.4256,0.2747,0.335,180774.7642,106693.6171,82457.9051,1079225.3423,636960.8941
15,15,600556.SH,20221011,5.72,5.79,5.65,5.75,5.73,0.019999999999999574,0.349,68412.32,39169.926,0.6412,0.8297,0.82,29.3394,33.3415,2.7649,2.3039,2.3362,0.2852,0.3478,180774.7642,106693.6171,82457.9051,1039454.8942,613488.2983
16,16,600556.SH,20221010,5.93,5.97,5.71,5.73,5.94,-0.20999999999999996,-3.5354,83446.68,48550.114,0.7821,1.012,0.98,29.2374,33.2256,2.7553,2.2959,2.3281,0.2862,0.349,180774.7642,106693.6171,82457.9051,1035839.3989,611354.426
17,17,600556.SH,20220930,5.93,6.0,5.9,5.94,5.92,0.020000000000000462,0.3378,71459.05,42543.206,0.6698,0.8666,0.79,30.3089,34.4433,2.8563,2.3801,2.4134,0.2761,0.3367,180774.7642,106693.6171,82457.9051,1073802.0993,633760.0856
18,18,600556.SH,20220929,6.08,6.12,5.88,5.92,6.02,-0.09999999999999964,-1.6611,83874.03,50356.477,0.7861,1.0172,0.92,30.2068,34.3273,2.8467,2.372,2.4053,0.277,0.3378,180774.7642,106693.6171,82457.9051,1070186.6041,631626.2132
19,19,600556.SH,20220928,6.2,6.2,6.02,6.02,6.21,-0.1900000000000004,-3.0596,81961.22,49949.97,0.7682,0.994,0.85,30.7171,34.9072,2.8947,2.4121,2.4459,0.2724,0.3322,180774.7642,106693.6171,82457.9051,1088264.0805,642295.5749
20,20,600556.SH,20220927,6.06,6.23,6.06,6.21,6.05,0.16000000000000014,2.6446,98071.64,60295.931,0.9192,1.1894,1.08,31.6866,36.0089,2.9861,2.4882,2.5231,0.2641,0.3221,180774.7642,106693.6171,82457.9051,1122611.2857,662567.3622
21,21,600556.SH,20220926,6.1,6.2,6.02,6.05,6.18,-0.1299999999999999,-2.1036,92083.0,56155.937,0.8631,1.1167,1.05,30.8702,35.0811,2.9092,2.4241,2.4581,0.2711,0.3306,180774.7642,106693.6171,82457.9051,1093687.3234,645496.3835
22,22,600556.SH,20220923,6.37,6.37,6.16,6.18,6.38,-0.20000000000000018,-3.1348,97084.05,60707.137,0.9099,1.1774,1.14,31.5335,35.8349,2.9717,2.4762,2.5109,0.2654,0.3236,180774.7642,106693.6171,82457.9051,1117188.0428,659366.5537
23,23,600556.SH,20220922,6.45,6.53,6.36,6.38,6.53,-0.15000000000000036,-2.2971,85691.26,55153.085,0.8032,1.0392,0.97,32.554,36.9946,3.0678,2.5564,2.5922,0.2571,0.3135,180774.7642,106693.6171,82457.9051,1153342.9956,680705.2771
24,24,600556.SH,20220921,6.42,6.54,6.26,6.53,6.43,0.10000000000000053,1.5552,110483.2,70802.724,1.0355,1.3399,1.37,33.3194,37.8644,3.14,2.6165,2.6531,0.2511,0.3063,180774.7642,106693.6171,82457.9051,1180459.2102,696709.3197
25,25,600556.SH,20220920,6.42,6.54,6.4,6.43,6.37,0.05999999999999961,0.9419,68653.77,44307.524,0.6435,0.8326,0.83,32.8091,37.2846,3.0919,2.5764,2.6125,0.2551,0.311,180774.7642,106693.6171,82457.9051,1162381.7338,686039.958
26,26,600556.SH,20220919,6.52,6.52,6.33,6.37,6.52,-0.14999999999999947,-2.3006,75149.54,47900.651,0.7043,0.9114,0.85,32.503,36.9366,3.063,2.5523,2.5881,0.2575,0.314,180774.7642,106693.6171,82457.9051,1151535.248,679638.3409
27,27,600556.SH,20220916,6.63,6.71,6.52,6.52,6.66,-0.14000000000000057,-2.1021,85029.91,56328.898,0.797,1.0312,0.8,33.2683,37.8064,3.1352,2.6124,2.6491,0.2515,0.3067,180774.7642,106693.6171,82457.9051,1178651.4626,695642.3835
28,28,600556.SH,20220915,6.79,6.82,6.59,6.66,6.75,-0.08999999999999986,-1.3333,102849.99,69093.605,0.964,1.2473,0.81,33.9827,38.6182,3.2025,2.6685,2.7059,0.2462,0.3003,180774.7642,106693.6171,82457.9051,1203959.9296,710579.4899
29,29,600556.SH,20220914,6.71,6.8,6.66,6.75,6.83,-0.08000000000000007,-1.1713,70970.34,47847.834,0.6652,0.8607,0.51,34.4419,39.1401,3.2458,2.7046,2.7425,0.243,0.2963,180774.7642,106693.6171,82457.9051,1220229.6584,720181.9154
30,30,600556.SH,20220913,6.83,6.91,6.82,6.83,6.83,0.0,0.0,82055.84,56210.427,0.7691,0.9951,0.53,34.8501,39.604,3.2842,2.7367,2.775,0.2401,0.2928,180774.7642,106693.6171,82457.9051,1234691.6395,728717.4048
31,31,600556.SH,20220909,6.77,6.86,6.7,6.83,6.78,0.04999999999999982,0.7375,101589.98,68955.32,0.9522,1.232,0.6,34.8501,39.604,3.2842,2.7367,2.775,0.2401,0.2928,180774.7642,106693.6171,82457.9051,1234691.6395,728717.4048
32,32,600556.SH,20220908,6.96,6.98,6.77,6.78,6.96,-0.17999999999999972,-2.5862,173465.61,118726.356,1.6258,2.1037,1.01,34.595,39.314,3.2602,2.7166,2.7547,0.2419,0.295,180774.7642,106693.6171,82457.9051,1225652.9013,723382.7239
33,33,600556.SH,20220907,7.11,7.12,6.92,6.96,7.13,-0.16999999999999993,-2.3843,207766.0,145308.057,1.9473,2.5197,1.19,35.5134,40.3578,3.3467,2.7887,2.8278,0.2356,0.2874,180774.7642,106693.6171,82457.9051,1258192.3588,742587.575
34,34,600556.SH,20220906,7.16,7.17,7.07,7.13,7.16,-0.03000000000000025,-0.419,130983.94,93124.637,1.2277,1.5885,0.69,36.3809,41.3435,3.4285,2.8569,2.8969,0.23,0.2805,180774.7642,106693.6171,82457.9051,1288924.0687,760725.4899
35,35,600556.SH,20220905,7.33,7.33,7.08,7.16,7.3,-0.13999999999999968,-1.9178,161754.0,115612.163,1.5161,1.9617,0.83,36.5339,41.5175,3.4429,2.8689,2.9091,0.2291,0.2793,180774.7642,106693.6171,82457.9051,1294347.3117,763926.2984
