,index,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,0,20221222,26.4,26.7,26.15,26.5,25.9,0.6,2.32,1758792.0,46623203.85
1,1,20221221,26.25,26.25,25.75,25.9,25.9,0.0,0.0,1263346.0,32747435.0
2,2,20221220,26.3,26.3,25.7,25.9,26.6,-0.7,-2.63,2019027.0,52336848.05
3,3,20221219,27.0,27.1,26.3,26.6,26.9,-0.3,-1.12,1698144.0,45218455.6
4,4,20221216,26.35,27.1,26.25,26.9,26.4,0.5,1.89,5673582.0,152218136.17
5,5,20221215,26.2,26.6,25.65,26.4,26.3,0.1,0.38,1816570.0,47563756.6
6,6,20221214,27.5,27.5,26.2,26.3,27.2,-0.9,-3.31,2817694.0,75023077.35
7,7,20221213,26.0,27.25,26.0,27.2,26.05,1.15,4.41,3707237.0,99625238.15
8,8,20221212,26.2,26.3,25.85,26.05,26.5,-0.45,-1.7,2384106.0,62198874.65
9,9,20221209,26.2,26.8,26.05,26.5,26.0,0.5,1.92,4351005.0,115247298.1
10,10,20221208,24.7,26.2,24.6,26.0,24.45,1.55,6.34,6306257.0,161898442.99
11,11,20221207,24.7,25.35,24.45,24.45,24.7,-0.25,-1.01,4746619.0,118082580.05
12,12,20221206,24.5,24.7,24.0,24.7,24.5,0.2,0.82,4878997.0,119128228.65
13,13,20221205,24.55,24.65,24.1,24.5,24.1,0.4,1.66,4509603.0,110421963.7
14,14,20221202,24.55,25.0,23.85,24.1,24.6,-0.5,-2.03,5385663.0,130397594.07
15,15,20221201,25.7,25.75,24.55,24.6,25.7,-1.1,-4.28,7084006.0,177912381.5
16,16,20221130,24.5,25.7,24.0,25.7,24.3,1.4,5.76,17826249.0,450356335.9
17,17,20221129,23.55,24.5,23.55,24.3,23.5,0.8,3.4,2945309.0,71060934.7
18,18,20221128,24.05,24.05,23.0,23.5,24.2,-0.7,-2.89,1857173.0,43439950.85
19,19,20221125,23.8,24.3,23.65,24.2,24.05,0.15,0.62,2012279.0,48357040.0
20,20,20221124,23.4,24.1,23.3,24.05,23.4,0.65,2.78,2553907.0,60867545.15
21,21,20221123,23.65,23.65,23.3,23.4,23.3,0.1,0.43,1014998.0,23770889.7
22,22,20221122,23.5,23.85,23.2,23.3,23.5,-0.2,-0.85,1600989.0,37591160.15
23,23,20221121,22.85,23.6,22.65,23.5,23.1,0.4,1.73,2971742.0,69233280.95
24,24,20221118,24.2,24.2,23.0,23.1,23.9,-0.8,-3.35,2684541.0,62400466.95
25,25,20221117,23.7,24.2,23.45,23.9,23.95,-0.05,-0.21,2387445.0,56741712.75
26,26,20221116,24.25,24.35,23.75,23.95,24.2,-0.25,-1.03,2861848.0,68830624.1
27,27,20221115,24.1,24.35,23.9,24.2,23.95,0.25,1.04,3443837.0,83106502.07
28,28,20221114,23.1,24.65,23.15,23.95,23.1,0.85,3.68,5414464.0,129392536.95
29,29,20221111,22.45,23.15,22.2,23.1,21.55,1.55,7.19,5094564.0,116122965.45
30,30,20221110,21.6,21.7,21.4,21.55,21.65,-0.1,-0.46,3195574.0,68758107.65
31,31,20221109,21.6,22.05,21.5,21.65,21.35,0.3,1.41,4655812.0,101284397.3
32,32,20221108,21.15,21.45,21.0,21.35,21.1,0.25,1.18,2874439.0,61133429.65
33,33,20221107,20.6,21.4,20.6,21.1,20.8,0.3,1.44,2375245.0,50200390.45
34,34,20221104,19.84,21.1,19.84,20.8,19.92,0.88,4.42,4665050.0,96797680.9
35,35,20221103,19.84,20.1,19.62,19.92,19.96,-0.04,-0.2,3181114.0,63361492.02
36,36,20221102,19.38,20.05,19.0,19.96,19.38,0.58,2.99,4636648.0,90714061.2
37,37,20221101,19.1,19.6,19.1,19.38,19.22,0.16,0.83,5871824.0,113529230.04
38,38,20221031,20.05,20.1,19.18,19.22,20.2,-0.98,-4.85,5958923.0,116340602.1
39,39,20221028,20.45,20.75,20.0,20.2,20.45,-0.25,-1.22,3710204.0,75298740.4
40,40,20221027,20.8,21.1,20.35,20.45,20.35,0.1,0.49,2387296.0,49296967.85
41,41,20221026,20.05,20.8,20.05,20.35,20.25,0.1,0.49,2418735.0,49478352.95
42,42,20221025,20.75,20.8,19.98,20.25,20.6,-0.35,-1.7,4603898.0,93307684.53
43,43,20221024,21.4,21.4,20.35,20.6,21.4,-0.8,-3.74,3799442.0,78363086.6
44,44,20221021,21.7,21.8,21.15,21.4,21.65,-0.25,-1.15,2367225.0,50771866.85
45,45,20221020,21.45,21.7,21.15,21.65,21.45,0.2,0.93,2264136.0,48624637.89
46,46,20221019,22.25,23.15,21.3,21.45,22.25,-0.8,-3.6,5853811.0,129305515.35
47,47,20221018,22.25,22.5,22.0,22.25,22.2,0.05,0.23,3144077.0,69925749.95
48,48,20221017,21.95,22.25,21.75,22.2,21.9,0.3,1.37,2861968.0,62988369.5
49,49,20221014,22.0,22.5,21.9,21.9,21.75,0.15,0.69,3944305.0,87229223.65
50,50,20221013,21.45,22.0,21.1,21.75,21.5,0.25,1.16,3669794.0,79356740.35
51,51,20221012,21.55,21.75,21.3,21.5,21.9,-0.4,-1.83,4337186.0,93321507.0
52,52,20221011,21.95,22.2,21.65,21.9,21.6,0.3,1.39,2714355.0,59412358.35
53,53,20221010,22.0,22.25,21.5,21.6,22.3,-0.7,-3.14,2934091.0,63731826.75
54,54,20221007,22.6,22.8,22.05,22.3,22.8,-0.5,-2.19,3707335.0,82679763.55
55,55,20221006,22.35,23.05,22.1,22.8,22.7,0.1,0.44,1948336.0,44445490.35
56,56,20221005,22.5,22.9,22.05,22.7,21.95,0.75,3.42,5033645.0,113539670.55
57,57,20221003,21.8,22.1,21.65,21.95,22.0,-0.05,-0.23,4832119.0,105737082.0
58,58,20220930,21.9,22.2,21.65,22.0,21.95,0.05,0.23,4400520.0,96596247.78
59,59,20220929,22.5,22.6,21.9,21.95,22.15,-0.2,-0.9,3205445.0,71222486.0
60,60,20220928,22.9,22.9,22.05,22.15,23.05,-0.9,-3.9,4133848.0,92039312.85
61,61,20220927,23.15,23.25,22.9,23.05,23.15,-0.1,-0.43,2649940.0,61129949.68
62,62,20220926,24.0,24.35,22.9,23.15,24.0,-0.85,-3.54,4632439.0,107718893.55
63,63,20220923,24.3,24.5,23.9,24.0,24.2,-0.2,-0.83,1932430.0,46433018.25
64,64,20220922,24.65,24.8,24.15,24.2,24.65,-0.45,-1.83,1807416.0,43878907.9
65,65,20220921,24.75,24.95,24.6,24.65,24.95,-0.3,-1.2,2309893.0,57138588.85
66,66,20220920,24.7,25.0,24.7,24.95,24.85,0.1,0.4,1780770.0,44327092.45
67,67,20220919,25.25,25.3,24.8,24.85,25.2,-0.35,-1.39,1881174.0,46878524.8
68,68,20220916,24.7,25.3,24.65,25.2,24.75,0.45,1.82,4473829.0,112381804.6
