,index,date,open,high,low,close,volume,day
0,0,2020-09-08,39.79999923706055,39.849998474121094,31.299999237060547,32.51525115966797,224974561,1
1,1,2020-09-09,31.049999237060547,34.79999923706055,31.0,32.613487243652344,46124449,2
2,2,2020-09-10,35.0,36.79999923706055,34.099998474121094,35.26578903198242,52844199,3
3,3,2020-09-11,36.0,36.599998474121094,34.79999923706055,34.38168716430664,18470887,4
4,4,2020-09-14,35.45000076293945,36.400001525878906,35.29999923706055,35.51137161254883,12279423,0
5,5,2020-09-15,36.29999923706055,36.29999923706055,35.04999923706055,34.67638397216797,8643560,1
6,6,2020-09-16,35.45000076293945,35.54999923706055,34.099998474121094,33.743167877197266,11973937,2
7,7,2020-09-17,34.29999923706055,35.599998474121094,34.20000076293945,34.234336853027344,7253243,3
8,8,2020-09-18,35.04999923706055,36.20000076293945,34.25,35.118438720703125,13525600,4
9,9,2020-09-21,36.0,36.650001525878906,35.099998474121094,35.36402130126953,13628024,0
10,10,2020-09-22,36.0,38.04999923706055,35.400001525878906,36.05165481567383,50526800,1
11,11,2020-09-23,37.04999923706055,39.70000076293945,37.0,38.60572052001953,42125310,2
12,12,2020-09-24,38.900001525878906,39.45000076293945,37.25,37.32868957519531,30627060,3
13,13,2020-09-25,38.79999923706055,38.79999923706055,34.54999923706055,34.52903747558594,28032772,4
14,14,2020-09-28,35.349998474121094,36.150001525878906,34.20000076293945,35.020206451416016,12048156,0
15,15,2020-09-29,35.79999923706055,36.20000076293945,34.54999923706055,34.38168716430664,9606440,1
16,16,2020-09-30,35.20000076293945,35.349998474121094,34.5,34.38168716430664,9323517,2
17,17,2020-10-05,35.0,36.400001525878906,35.0,34.97108840942383,6693178,0
18,18,2020-10-06,35.900001525878906,37.54999923706055,35.79999923706055,36.88663864135742,9583598,1
19,19,2020-10-07,37.099998474121094,37.45000076293945,36.599998474121094,36.14988708496094,4033400,2
20,20,2020-10-08,36.900001525878906,36.95000076293945,35.95000076293945,36.24812316894531,5783107,3
21,21,2020-10-09,37.20000076293945,37.29999923706055,36.29999923706055,35.95342254638672,9447916,4
22,22,2020-10-12,36.79999923706055,38.54999923706055,36.70000076293945,37.03398895263672,17185716,0
23,23,2020-10-14,37.75,38.150001525878906,36.79999923706055,37.279571533203125,7645800,2
24,24,2020-10-15,37.45000076293945,37.70000076293945,36.29999923706055,35.7569580078125,5572194,3
25,25,2020-10-16,36.79999923706055,37.75,36.5,36.34635543823242,4944300,4
26,26,2020-10-19,37.099998474121094,37.650001525878906,36.0,35.65871810913086,5543775,0
27,27,2020-10-20,36.04999923706055,36.5,35.349998474121094,35.36402130126953,7445300,1
28,28,2020-10-21,36.20000076293945,37.0,36.25,36.24812316894531,5213046,2
29,29,2020-10-22,36.75,36.75,36.29999923706055,35.95342254638672,1922835,3
30,30,2020-10-23,36.54999923706055,36.650001525878906,35.599998474121094,35.26578903198242,3435953,4
31,31,2020-10-27,35.900001525878906,36.29999923706055,35.5,35.06932067871094,4785585,1
32,32,2020-10-28,35.5,36.650001525878906,34.79999923706055,34.87285232543945,8688556,2
33,33,2020-10-29,35.150001525878906,35.849998474121094,35.04999923706055,34.87285232543945,4690741,3
34,34,2020-10-30,35.5,36.45000076293945,35.20000076293945,34.87285232543945,6537885,4
35,35,2020-11-02,35.95000076293945,37.150001525878906,35.79999923706055,35.855186462402344,7136527,0
36,36,2020-11-03,36.95000076293945,37.150001525878906,35.900001525878906,35.41313934326172,3739667,1
37,37,2020-11-04,35.900001525878906,38.25,35.650001525878906,37.2304573059082,14077311,2
38,38,2020-11-05,38.0,38.70000076293945,37.25,37.2304573059082,9091645,3
39,39,2020-11-06,38.0,38.0,37.0,37.083106994628906,4433289,4
40,40,2020-11-09,38.0,40.5,37.849998474121094,38.26190948486328,24530100,0
41,41,2020-11-10,39.25,40.150001525878906,38.650001525878906,38.65483856201172,8746424,1
42,42,2020-11-11,38.79999923706055,38.79999923706055,37.0,36.34635543823242,8899900,2
43,43,2020-11-12,37.5,37.900001525878906,37.0,36.59193801879883,4487180,3
44,44,2020-11-13,37.29999923706055,37.400001525878906,36.54999923706055,36.59193801879883,2987300,4
45,45,2020-11-16,37.349998474121094,41.900001525878906,37.349998474121094,40.4721565246582,20785619,0
46,46,2020-11-17,41.45000076293945,44.70000076293945,41.20000076293945,43.419158935546875,23109771,1
47,47,2020-11-18,44.5,46.400001525878906,43.04999923706055,43.17357635498047,16361994,2
48,48,2020-11-19,44.150001525878906,45.400001525878906,42.349998474121094,43.22269058227539,10277637,3
49,49,2020-11-20,44.0,45.650001525878906,44.0,44.401493072509766,8855834,4
50,50,2020-11-23,45.599998474121094,46.20000076293945,44.5,44.352378845214844,6510020,0
51,51,2020-11-24,45.5,46.0,44.20000076293945,43.81209182739258,5622397,1
52,52,2020-11-25,45.0,45.0,41.650001525878906,41.8474235534668,11546675,2
53,53,2020-11-26,42.79999923706055,43.349998474121094,42.04999923706055,42.3877067565918,3131638,3
54,54,2020-11-27,43.150001525878906,43.29999923706055,42.29999923706055,42.0930061340332,2637086,4
55,55,2020-11-30,42.849998474121094,43.099998474121094,41.79999923706055,41.74919128417969,2900407,0
56,56,2020-12-01,42.400001525878906,44.29999923706055,42.150001525878906,42.92799377441406,5718345,1
57,57,2020-12-02,44.0,44.0,42.0,41.50360870361328,5023200,2
58,58,2020-12-03,42.25,42.45000076293945,40.95000076293945,40.717742919921875,5550849,3
59,59,2020-12-04,41.349998474121094,42.75,41.349998474121094,41.74919128417969,4105785,4
60,60,2020-12-07,42.75,42.79999923706055,41.5,41.8474235534668,3689774,0
61,61,2020-12-08,42.400001525878906,44.0,42.0,42.53506088256836,5150757,1
62,62,2020-12-09,43.5,44.400001525878906,41.900001525878906,41.700077056884766,7800255,2
63,63,2020-12-10,42.349998474121094,42.5,41.5,41.20891189575195,4405051,3
64,64,2020-12-11,42.29999923706055,42.54999923706055,41.75,41.25802230834961,3706087,4
65,65,2020-12-14,42.0,42.70000076293945,41.5,41.94565963745117,3915168,0
66,66,2020-12-15,42.79999923706055,43.45000076293945,42.099998474121094,42.63329315185547,5423389,1
67,67,2020-12-16,43.650001525878906,46.400001525878906,42.849998474121094,44.69619369506836,14264024,2
68,68,2020-12-17,45.650001525878906,47.70000076293945,44.5,45.77676010131836,10916863,3
69,69,2020-12-18,46.599998474121094,48.349998474121094,46.5,46.955562591552734,9700498,4
70,70,2020-12-21,48.20000076293945,49.79999923706055,47.45000076293945,47.25025939941406,9001856,0
71,71,2020-12-22,48.5,49.0,46.0,45.77676010131836,7484656,1
72,72,2020-12-23,47.0,49.0,46.349998474121094,48.13436508178711,6965620,2
73,73,2020-12-24,50.0,50.0,50.0,49.11669921875,0,3
74,74,2020-12-28,50.0,53.900001525878906,49.79999923706055,52.65309524536133,11640256,0
75,75,2020-12-29,54.5,55.0,51.29999923706055,51.32694625854492,10025509,1
