,index,date,open,high,low,close,volume,day
0,0,2020-06-18,239.0,239.0,228.60000610351562,228.55201721191406,29789263,3
1,1,2020-06-19,234.0,235.60000610351562,233.39999389648438,228.1613311767578,7588265,4
2,2,2020-06-22,229.8000030517578,230.0,226.8000030517578,222.69171142578125,8716948,0
3,3,2020-06-23,227.0,231.60000610351562,226.0,224.6451416015625,5800950,1
4,4,2020-06-24,232.60000610351562,235.39999389648438,231.8000030517578,229.33338928222656,7307560,2
5,5,2020-06-26,234.8000030517578,236.0,233.39999389648438,228.94268798828125,3147850,4
6,6,2020-06-29,232.0,232.1999969482422,228.1999969482422,224.44979858398438,4125307,0
7,7,2020-06-30,231.1999969482422,232.8000030517578,228.39999389648438,226.4032440185547,2175206,1
8,8,2020-07-02,232.39999389648438,235.8000030517578,231.39999389648438,230.3101043701172,4620079,3
9,9,2020-07-03,236.1999969482422,236.8000030517578,234.39999389648438,230.11476135253906,4343783,4
10,10,2020-07-06,237.0,245.0,236.0,239.10057067871094,5452223,0
11,11,2020-07-07,248.39999389648438,248.60000610351562,240.1999969482422,236.36575317382812,4434131,1
12,12,2020-07-08,237.0,247.60000610351562,236.60000610351562,241.83538818359375,4511655,2
13,13,2020-07-09,252.60000610351562,271.6000061035156,252.0,259.8069763183594,11022464,3
14,14,2020-07-10,264.0,266.0,257.0,254.3373565673828,5766817,4
15,15,2020-07-13,256.79998779296875,259.0,252.1999969482422,249.6491241455078,5257759,0
16,16,2020-07-14,243.1999969482422,244.39999389648438,238.60000610351562,236.17041015625,9143476,1
17,17,2020-07-15,242.1999969482422,243.39999389648438,239.0,235.58438110351562,3617890,2
18,18,2020-07-16,243.8000030517578,244.0,233.0,229.5287322998047,5553074,3
19,19,2020-07-17,239.0,244.1999969482422,238.8000030517578,234.99835205078125,3488903,4
20,20,2020-07-20,242.1999969482422,243.60000610351562,238.0,236.17041015625,2322904,0
21,21,2020-07-21,251.1999969482422,254.1999969482422,248.1999969482422,248.28170776367188,4671746,1
22,22,2020-07-22,244.39999389648438,248.1999969482422,242.0,236.56109619140625,8166401,2
23,23,2020-07-23,241.39999389648438,243.8000030517578,238.60000610351562,235.97508239746094,4145525,3
24,24,2020-07-24,235.0,238.60000610351562,231.8000030517578,229.33338928222656,7106385,4
25,25,2020-07-27,236.0,239.0,234.1999969482422,231.28683471679688,2997808,0
26,26,2020-07-28,242.0,245.0,241.1999969482422,237.733154296875,3109197,1
27,27,2020-07-29,239.1999969482422,240.0,238.1999969482422,234.21697998046875,2066347,2
28,28,2020-07-30,241.60000610351562,242.8000030517578,239.8000030517578,235.19369506835938,1537150,3
29,29,2020-07-31,243.1999969482422,244.0,238.8000030517578,235.19369506835938,1722539,4
30,30,2020-08-03,245.0,247.39999389648438,245.0,241.44468688964844,3302847,0
31,31,2020-08-04,250.0,252.0,248.0,246.1329345703125,3337203,1
32,32,2020-08-05,251.60000610351562,253.0,249.1999969482422,247.10964965820312,1656440,2
33,33,2020-08-06,253.60000610351562,254.8000030517578,250.39999389648438,248.0863800048828,1840278,3
34,34,2020-08-07,250.8000030517578,250.8000030517578,241.1999969482422,240.66331481933594,4084993,4
35,35,2020-08-10,241.8000030517578,243.39999389648438,239.0,234.80300903320312,2688482,0
36,36,2020-08-11,240.39999389648438,244.0,240.39999389648438,236.75643920898438,2721861,1
37,37,2020-08-12,239.0,241.60000610351562,236.8000030517578,235.3890380859375,3717897,2
38,38,2020-08-13,244.39999389648438,245.60000610351562,243.0,238.70986938476562,1825042,3
39,39,2020-08-14,244.39999389648438,244.39999389648438,242.39999389648438,237.3424835205078,1421558,4
40,40,2020-08-17,241.60000610351562,246.60000610351562,238.0,236.95179748535156,4163589,0
41,41,2020-08-18,256.0,266.0,255.8000030517578,259.41632080078125,17077458,1
42,42,2020-08-19,268.3999938964844,279.6000061035156,268.3999938964844,271.5276184082031,7451163,2
43,43,2020-08-20,279.3999938964844,280.0,274.0,273.2856750488281,4811896,3
44,44,2020-08-21,286.6000061035156,291.0,285.6000061035156,280.90411376953125,6479102,4
45,45,2020-08-24,290.0,300.6000061035156,289.79998779296875,292.0386962890625,6424380,0
46,46,2020-08-25,299.0,306.0,294.3999938964844,291.0619812011719,7810400,1
47,47,2020-08-26,310.79998779296875,321.6000061035156,306.79998779296875,308.4475402832031,9122156,2
48,48,2020-08-27,315.0,322.6000061035156,307.3999938964844,309.2289123535156,7458833,3
49,49,2020-08-28,309.0,312.0,307.0,301.2198181152344,6864653,4
50,50,2020-08-31,310.0,317.3999938964844,310.0,303.3686218261719,3569552,0
51,51,2020-09-01,306.3999938964844,312.0,305.0,302.001220703125,4629256,1
52,52,2020-09-02,326.0,337.20001220703125,322.20001220703125,324.2703857421875,8081230,2
53,53,2020-09-03,323.0,328.20001220703125,320.20001220703125,315.6752624511719,6026765,3
54,54,2020-09-04,305.0,309.6000061035156,300.0,300.6337890625,10782370,4
55,55,2020-09-07,306.79998779296875,314.0,302.3999938964844,298.68035888671875,4106816,0
56,56,2020-09-08,310.0,310.20001220703125,296.3999938964844,297.89898681640625,3356261,1
57,57,2020-09-09,293.20001220703125,297.79998779296875,291.79998779296875,288.71783447265625,4512619,2
58,58,2020-09-10,298.3999938964844,304.79998779296875,294.0,288.1318054199219,2748950,3
59,59,2020-09-11,291.79998779296875,296.3999938964844,289.0,288.1318054199219,3923159,4
60,60,2020-09-14,292.79998779296875,295.20001220703125,292.0,286.9597473144531,4212797,0
61,61,2020-09-15,296.6000061035156,304.6000061035156,296.3999938964844,294.7734680175781,4112490,1
62,62,2020-09-16,300.0,300.6000061035156,296.0,291.45263671875,3773093,2
63,63,2020-09-17,292.0,293.0,284.20001220703125,280.31805419921875,6150385,3
64,64,2020-09-18,289.0,293.3999938964844,288.0,285.0063171386719,2591487,4
65,65,2020-09-21,291.0,292.79998779296875,287.0,280.513427734375,1946835,0
66,66,2020-09-22,290.0,293.79998779296875,287.0,283.24822998046875,2715939,1
67,67,2020-09-23,291.6000061035156,296.0,290.20001220703125,285.59234619140625,2311704,2
68,68,2020-09-24,288.0,292.0,285.20001220703125,281.6854553222656,2957946,3
69,69,2020-09-25,284.6000061035156,286.0,279.79998779296875,275.62982177734375,3834701,4
70,70,2020-09-28,286.6000061035156,292.3999938964844,286.6000061035156,283.24822998046875,3492472,0
71,71,2020-09-29,297.0,297.0,292.6000061035156,288.3271789550781,3648160,1
72,72,2020-09-30,292.6000061035156,298.3999938964844,291.20001220703125,286.9597473144531,4193866,2
73,73,2020-10-05,300.0,300.6000061035156,295.0,290.4759216308594,2649215,0
74,74,2020-10-06,297.20001220703125,299.20001220703125,296.3999938964844,291.64801025390625,2579224,1
75,75,2020-10-07,298.0,306.0,298.0,298.0943603515625,4504756,2
76,76,2020-10-08,305.20001220703125,305.20001220703125,302.0,297.89898681640625,3323959,3
77,77,2020-10-09,305.0,309.20001220703125,302.0,300.6337890625,6339645,4
78,78,2020-10-12,310.20001220703125,317.79998779296875,309.6000061035156,309.42425537109375,6558498,0
79,79,2020-10-14,323.20001220703125,324.0,319.3999938964844,316.4566345214844,5306020,2
80,80,2020-10-15,316.0,316.0,310.0,304.1499938964844,5075136,3
81,81,2020-10-16,309.20001220703125,316.20001220703125,308.6000061035156,307.6661682128906,3809369,4
82,82,2020-10-19,318.6000061035156,321.20001220703125,314.6000061035156,309.6195983886719,2204561,0
83,83,2020-10-20,316.3999938964844,318.20001220703125,311.6000061035156,310.2056579589844,2373277,1
84,84,2020-10-21,324.0,325.0,322.0,315.2845764160156,3380891,2
85,85,2020-10-22,322.0,323.0,316.79998779296875,315.47991943359375,3105355,3
86,86,2020-10-23,317.3999938964844,317.6000061035156,314.20001220703125,308.64288330078125,4105015,4
87,87,2020-10-27,313.3999938964844,318.20001220703125,312.20001220703125,309.0335693359375,2094501,1
88,88,2020-10-28,321.0,323.20001220703125,318.6000061035156,313.5264892578125,3480020,2
89,89,2020-10-29,314.79998779296875,320.6000061035156,312.6000061035156,310.5963134765625,3910246,3
90,90,2020-10-30,321.6000061035156,326.0,314.6000061035156,307.8615417480469,4808349,4
91,91,2020-11-02,317.0,322.3999938964844,315.0,312.9404296875,2326434,0
92,92,2020-11-03,321.6000061035156,324.0,320.6000061035156,314.5032043457031,3094286,1
93,93,2020-11-04,318.79998779296875,337.6000061035156,317.6000061035156,322.31695556640625,9289115,2
94,94,2020-11-05,350.0,361.79998779296875,347.20001220703125,352.59521484375,9415312,3
95,95,2020-11-06,355.6000061035156,364.20001220703125,354.0,349.86041259765625,4780390,4
96,96,2020-11-09,365.0,365.20001220703125,357.79998779296875,353.76727294921875,4800405,0
97,97,2020-11-10,335.0,340.6000061035156,323.0,322.7076110839844,17310752,1
98,98,2020-11-11,309.79998779296875,314.79998779296875,300.0,293.0154113769531,16951314,2
99,99,2020-11-12,320.0,326.79998779296875,317.20001220703125,315.47991943359375,10671161,3
100,100,2020-11-13,335.0,348.3999938964844,332.20001220703125,340.2885437011719,10216844,4
101,101,2020-11-16,360.0,368.20001220703125,348.6000061035156,359.4322204589844,9499722,0
102,102,2020-11-17,339.0,345.79998779296875,335.6000061035156,333.8421936035156,14658502,1
103,103,2020-11-18,339.79998779296875,344.20001220703125,336.0,332.0841369628906,8649610,2
104,104,2020-11-19,336.79998779296875,336.79998779296875,331.0,324.4657287597656,6629844,3
105,105,2020-11-20,332.0,339.3999938964844,330.6000061035156,328.17724609375,5109847,4
106,106,2020-11-23,341.0,345.20001220703125,338.3999938964844,336.5770263671875,4799775,0
107,107,2020-11-24,352.79998779296875,354.0,345.79998779296875,340.0932312011719,5550985,1
108,108,2020-11-25,349.0,352.3999938964844,339.6000061035156,335.0142822265625,5527376,2
109,109,2020-11-26,343.0,346.79998779296875,340.6000061035156,337.74908447265625,3624361,3
110,110,2020-11-27,346.6000061035156,350.0,342.79998779296875,334.81890869140625,3090093,4
111,111,2020-11-30,343.6000061035156,343.6000061035156,336.0,330.71673583984375,4435838,0
112,112,2020-12-01,333.6000061035156,337.3999938964844,329.79998779296875,327.78656005859375,5343968,1
113,113,2020-12-02,331.79998779296875,331.79998779296875,324.0,318.4100646972656,5631674,2
114,114,2020-12-03,330.0,332.79998779296875,327.79998779296875,323.6843566894531,4841972,3
115,115,2020-12-04,333.0,343.6000061035156,332.6000061035156,331.4980773925781,7503488,4
116,116,2020-12-07,332.79998779296875,333.0,328.20001220703125,324.07501220703125,5379127,0
117,117,2020-12-08,324.79998779296875,326.20001220703125,321.0,318.2147216796875,8216680,1
118,118,2020-12-09,320.0,323.6000061035156,319.79998779296875,313.7218322753906,12619788,2
119,119,2020-12-10,318.6000061035156,319.79998779296875,317.0,311.57305908203125,8185147,3
120,120,2020-12-11,319.0,324.3999938964844,318.0,312.7451171875,7589145,4
121,121,2020-12-14,321.0,322.79998779296875,313.3999938964844,307.8615417480469,6720726,0
122,122,2020-12-15,309.0,310.20001220703125,302.20001220703125,299.2663879394531,11088321,1
123,123,2020-12-16,308.79998779296875,317.3999938964844,307.20001220703125,304.3453369140625,7111959,2
124,124,2020-12-17,317.0,324.0,316.6000061035156,315.47991943359375,6066105,3
125,125,2020-12-18,321.0,322.0,316.79998779296875,312.9404296875,11890700,4
126,126,2020-12-21,318.0,318.20001220703125,313.20001220703125,306.1034240722656,5909369,0
127,127,2020-12-22,315.0,321.3999938964844,313.20001220703125,307.8615417480469,4318485,1
128,128,2020-12-23,320.6000061035156,336.79998779296875,318.3999938964844,325.2471008300781,9682381,2
129,129,2020-12-24,325.3999938964844,325.3999938964844,325.3999938964844,317.82403564453125,0,3
130,130,2020-12-28,323.0,323.79998779296875,315.0,310.98699951171875,6207213,0
131,131,2020-12-29,317.6000061035156,324.79998779296875,316.79998779296875,314.5032043457031,4117028,1
132,132,2020-12-30,331.3999938964844,338.0,330.20001220703125,329.9353332519531,5290284,2
133,133,2020-12-31,342.20001220703125,342.20001220703125,342.20001220703125,334.23291015625,0,3
134,134,2021-01-04,340.20001220703125,346.0,336.6000061035156,335.6003112792969,4312589,0
135,135,2021-01-05,335.3999938964844,340.79998779296875,333.79998779296875,330.91204833984375,3244487,1
136,136,2021-01-06,363.79998779296875,367.79998779296875,356.6000061035156,356.5020751953125,10200927,2
137,137,2021-01-07,346.6000061035156,353.0,343.3999938964844,342.8280334472656,7080623,3
138,138,2021-01-08,342.0,350.0,341.20001220703125,339.5071716308594,6109727,4
139,139,2021-01-11,353.0,357.6000061035156,351.0,345.36749267578125,4907313,0
140,140,2021-01-12,350.3999938964844,358.0,350.3999938964844,344.5860900878906,3231081,1
141,141,2021-01-13,345.3999938964844,347.3999938964844,343.6000061035156,338.53045654296875,4907614,2
142,142,2021-01-14,351.0,355.6000061035156,350.3999938964844,345.1721496582031,2912710,3
143,143,2021-01-15,349.3999938964844,351.20001220703125,346.0,342.2419738769531,3910133,4
144,144,2021-01-18,342.0,348.6000061035156,339.79998779296875,339.31182861328125,6262771,0
145,145,2021-01-19,350.0,359.79998779296875,350.0,344.1954345703125,7201078,1
146,146,2021-01-20,354.79998779296875,369.3999938964844,352.0,355.720703125,9095720,2
147,147,2021-01-21,371.0,377.79998779296875,366.0,361.3856506347656,7783199,3
148,148,2021-01-22,370.0,373.79998779296875,363.6000061035156,356.6974182128906,3971471,4
149,149,2021-01-25,370.0,389.0,370.0,378.5758972167969,8276429,0
150,150,2021-01-26,385.79998779296875,389.79998779296875,378.0,373.1062927246094,6236887,1
151,151,2021-01-27,376.0,377.79998779296875,363.3999938964844,364.1204528808594,6956387,2
152,152,2021-01-28,351.79998779296875,356.0,346.0,342.2419738769531,13272231,3
153,153,2021-01-29,355.0,358.79998779296875,342.3999938964844,337.74908447265625,6382292,4
154,154,2021-02-01,344.3999938964844,355.79998779296875,344.0,344.7814636230469,5495973,0
155,155,2021-02-02,360.0,375.6000061035156,359.3999938964844,363.7297668457031,8138153,1
156,156,2021-02-03,373.20001220703125,382.20001220703125,368.3999938964844,368.8087158203125,6309732,2
157,157,2021-02-04,370.0,371.79998779296875,359.79998779296875,359.4322204589844,5701389,3
158,158,2021-02-05,371.6000061035156,375.3999938964844,368.6000061035156,360.9949951171875,3745232,4
159,159,2021-02-08,375.6000061035156,378.20001220703125,365.6000061035156,358.84619140625,3609172,0
160,160,2021-02-09,367.6000061035156,369.20001220703125,362.3999938964844,358.45550537109375,3661107,1
161,161,2021-02-10,376.0,386.0,375.6000061035156,375.0597229003906,6119575,2
162,162,2021-02-11,386.3999938964844,386.3999938964844,386.3999938964844,377.4038391113281,0,3
163,163,2021-02-16,393.0,394.79998779296875,388.0,382.4827880859375,4534364,1
164,164,2021-02-17,399.6000061035156,419.79998779296875,398.3999938964844,407.0960388183594,8193956,2
165,165,2021-02-18,422.3999938964844,422.79998779296875,408.3999938964844,403.9705810546875,5764341,3
166,166,2021-02-19,406.3999938964844,410.6000061035156,393.20001220703125,401.0404052734375,4735906,4
167,167,2021-02-22,413.79998779296875,414.20001220703125,395.0,385.8036193847656,4730672,0
168,168,2021-02-23,380.0,392.6000061035156,375.79998779296875,379.94329833984375,7684387,1
169,169,2021-02-24,389.0,391.0,367.20001220703125,365.09716796875,7389001,2
170,170,2021-02-25,378.0,383.3999938964844,369.20001220703125,369.19940185546875,5002837,3
171,171,2021-02-26,356.79998779296875,365.3999938964844,353.6000061035156,351.61846923828125,7604685,4
