Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NYMTZ,New York Mortgage Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,$15.22,-0.24,-1.552%,0.00,United States,,49790,Real Estate,Real Estate Investment Trusts
O,Realty Income Corporation Common Stock,$63.23,-0.88,-1.373%,39654938631.00,United States,,3155193,Real Estate,Real Estate Investment Trusts
OFC,Corporate Office Properties Trust Common Stock,$25.69,-0.38,-1.458%,2888153626.00,United States,,524024,Real Estate,Real Estate Investment Trusts
OHI,Omega Healthcare Investors Inc. Common Stock,$27.67,-0.53,-1.879%,6479838214.00,United States,1992,1910368,Real Estate,Real Estate Investment Trusts
OLP,One Liberty Properties Inc. Common Stock,$21.83,-0.57,-2.545%,460044023.00,United States,1986,44567,Real Estate,Real Estate Investment Trusts
ONL,Orion Office REIT Inc. Common Stock,$8.43,-0.17,-1.977%,477433370.00,,2021,670674,Real Estate,Real Estate Investment Trusts
OPI,Office Properties Income Trust Common Shares of Beneficial Interest,$13.48,-0.36,-2.601%,654670475.00,United States,,232969,Real Estate,Real Estate Investment Trusts
OPINL,Office Properties Income Trust 6.375% Senior Notes due 2050,$16.80,0.01,0.06%,0.00,United States,,32960,Real Estate,Real Estate Investment Trusts
ORC,Orchid Island Capital Inc. Common Stock,$10.56,-0.44,-4.00%,393964613.00,United States,2013,817183,Real Estate,Real Estate Investment Trusts
OUT,OUTFRONT Media Inc. Common Stock,$16.08,-0.44,-2.663%,2639589502.00,,2014,602817,Real Estate,Real Estate Investment Trusts
PCH,PotlatchDeltic Corporation Common Stock,$43.56,-0.73,-1.648%,3518628696.00,United States,,355031,Real Estate,Real Estate Investment Trusts
PDM,Piedmont Office Realty Trust Inc. Class A Common Stock,$9.00,-0.32,-3.433%,1110558429.00,United States,,818799,Real Estate,Real Estate Investment Trusts
PEAK,Healthpeak Properties Inc. Common Stock,$24.71,-0.60,-2.371%,13282616958.00,United States,,3923004,Real Estate,Real Estate Investment Trusts
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,$13.04,-0.34,-2.541%,1714400735.00,United States,2009,2859781,Real Estate,Real Estate Investment Trusts
PECO,Phillips Edison & Company Inc. Common Stock,$31.44,-0.70,-2.178%,3681624000.00,United States,2021,296738,Real Estate,Real Estate Investment Trusts
PGRE,Paramount Group Inc. Common Stock,$5.76,-0.23,-3.84%,1266185370.00,United States,2014,1180354,Real Estate,Real Estate Investment Trusts
PINE,Alpine Income Property Trust Inc. Common Stock,$18.51,-0.27,-1.438%,220554720.00,United States,2019,154008,Real Estate,Real Estate Investment Trusts
PK,Park Hotels & Resorts Inc. Common Stock ,$11.49,-0.28,-2.379%,2583448701.00,United States,2016,3517504,Real Estate,Real Estate Investment Trusts
PLD,Prologis Inc. Common Stock,$110.45,-2.84,-2.507%,101954028830.00,United States,,2623597,Real Estate,Real Estate Investment Trusts
PLYM,Plymouth Industrial REIT Inc. Common Stock,$18.73,-0.59,-3.054%,802570929.00,United States,2017,111361,Real Estate,Real Estate Investment Trusts
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,$12.56,-0.59,-4.487%,1116941596.00,United States,2009,1083927,Real Estate,Real Estate Investment Trusts
PSA,Public Storage Common Stock,$277.99,-5.05,-1.784%,48825715480.00,United States,,574265,Real Estate,Real Estate Investment Trusts
PSTL,Postal Realty Trust Inc. Class A Common Stock,$14.26,-0.54,-3.649%,271534913.00,,2019,73821,Real Estate,Real Estate Investment Trusts
PW,Power REIT (MD) Common Stock,$3.85,-0.12,-3.023%,13050195.00,United States,1998,31176,Real Estate,Real Estate Investment Trusts
RC,Ready Capital Corproation Common Stock,$11.27,-0.47,-4.003%,1245480045.00,United States,2013,1277447,Real Estate,Real Estate Investment Trusts
RCA,Ready Capital Corporation 7.00% Convertible Senior Notes due 2023,$25.00,-0.02,-0.08%,0.00,United States,2017,9794,Real Estate,Real Estate Investment Trusts
REFI,Chicago Atlantic Real Estate Finance Inc. Common Stock,$15.75,0.25,1.613%,278112130.00,United States,2021,50765,Real Estate,Real Estate Investment Trusts
REG,Regency Centers Corporation Common Stock,$61.65,-0.96,-1.533%,10549715688.00,United States,1993,642513,Real Estate,Real Estate Investment Trusts
REXR,Rexford Industrial Realty Inc. Common Stock,$53.28,-1.15,-2.113%,9776467240.00,United States,2013,680327,Real Estate,Real Estate Investment Trusts
RFL,Rafael Holdings Inc. Class B Common Stock,$1.77,-0.03,-1.667%,43316598.00,United States,2018,50363,Real Estate,Real Estate
RHP,Ryman Hospitality Properties Inc. (REIT),$79.48,-2.43,-2.967%,4384380992.00,United States,,255615,Real Estate,Real Estate Investment Trusts
RITM,Rithm Capital Corp. Common Stock,$8.25,-0.34,-3.958%,3908149575.00,United States,,6163647,Real Estate,Real Estate Investment Trusts
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,$10.30,-0.20,-1.905%,1669155716.00,United States,2011,1380763,Real Estate,Real Estate Investment Trusts
ROIC,Retail Opportunity Investments Corp. Common Stock (MD),$14.86,-0.25,-1.655%,1850688443.00,United States,,569430,Real Estate,Real Estate Investment Trusts
RPT,RPT Realty Common Stock,$9.81,-0.22,-2.193%,836293357.00,United States,,523484,Real Estate,Real Estate Investment Trusts
RTL,The Necessity Retail REIT Inc. Class A Common Stock,$5.94,-0.10,-1.656%,797292419.00,United States,,519139,Real Estate,Real Estate Investment Trusts
RTLPO,The Necessity Retail REIT Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,$19.92,0.02,0.101%,0.00,United States,,4689,Real Estate,Real Estate Investment Trusts
RTLPP,The Necessity Retail REIT Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,$20.10,-0.18,-0.888%,0.00,United States,,4917,Real Estate,Real Estate Investment Trusts
RWT,Redwood Trust Inc. Common Stock,$6.75,-0.23,-3.295%,765110144.00,United States,1995,1196491,Real Estate,Real Estate Investment Trusts
RYN,Rayonier Inc. REIT Common Stock,$32.48,-1.34,-3.962%,4755855223.00,United States,,352539,Real Estate,Real Estate Investment Trusts
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$23.80,0.1359,0.574%,0.00,United States,2019,1499,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.41,-0.14,-3.944%,139113368.00,United States,2017,539012,Real Estate,Real Estate Investment Trusts
SAFE,Safehold Inc. Common Stock,$29.31,-0.12,-0.408%,1822713661.00,United States,2017,164556,Real Estate,Real Estate Investment Trusts
SBAC,SBA Communications Corporation Class A Common Stock,$278.70,-3.80,-1.345%,30089995441.00,United States,1999,291253,Real Estate,Real Estate Investment Trusts
SBRA,Sabra Health Care REIT Inc. Common Stock,$12.28,-0.30,-2.385%,2836392722.00,United States,,1195393,Real Estate,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$24.5001,0.0001,0.00%,0.00,United States,2019,1453,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$22.8125,0.0975,0.429%,0.00,United States,2020,5336,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$19.76,-0.24,-1.20%,0.00,United States,,14517,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$20.1854,-0.0946,-0.466%,0.00,United States,2022,6933,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$20.105,-0.365,-1.783%,0.00,United States,2022,3437,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$20.75,0.0395,0.191%,0.00,United States,2022,1358,Real Estate,Real Estate Investment Trusts
SELF,Global Self Storage Inc. Common Stock,$4.805,-0.105,-2.138%,53362086.00,United States,,36738,Real Estate,Real Estate Investment Trusts
SEVN,Seven Hills Realty Trust Common Stock,$8.775,0.205,2.392%,129075213.00,United States,,76017,Real Estate,Real Estate Investment Trusts
SHO,Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares,$9.52,-0.14,-1.449%,2003003430.00,United States,2004,1293292,Real Estate,Real Estate Investment Trusts
SITC,SITE Centers Corp. Common Stock,$13.22,-0.41,-3.008%,2809412923.00,United States,,1155621,Real Estate,Real Estate Investment Trusts
SKT,Tanger Factory Outlet Centers Inc. Common Stock,$17.59,-0.50,-2.764%,1835462464.00,United States,1993,347063,Real Estate,Real Estate Investment Trusts
SLG,SL Green Realty Corp Common Stock,$33.01,-1.19,-3.48%,2123072844.00,United States,1997,1116610,Real Estate,Real Estate Investment Trusts
SOHO,Sotherly Hotels Inc. Common Stock,$1.78,0.00,0.00%,33733715.00,United States,,61439,Real Estate,Real Estate Investment Trusts
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,$21.34,-0.11,-0.513%,0.00,United States,,1226,Real Estate,Real Estate Investment Trusts
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$20.7972,0.3972,1.947%,0.00,United States,,824,Real Estate,Real Estate Investment Trusts
SPG,Simon Property Group Inc. Common Stock,$115.06,-3.04,-2.574%,37619303192.00,United States,,983705,Real Estate,Real Estate Investment Trusts
SQFT,Presidio Property Trust Inc. Class A Common Stock,$1.0268,0.0367,3.707%,12560994.00,United States,2020,34907,Real Estate,Real Estate Investment Trusts
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,$18.20,0.10,0.552%,0.00,United States,,2376,Real Estate,Real Estate Investment Trusts
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,$0.061,-0.002,-3.175%,0.00,United States,,62369,Real Estate,Real Estate Investment Trusts
SRC,Spirit Realty Capital Inc. Common Stock,$39.71,-0.96,-2.36%,5545908170.00,United States,2013,529562,Real Estate,Real Estate Investment Trusts
SRG,Seritage Growth Properties Class A Common Stock,$11.66,-0.01,-0.086%,653337562.00,United States,2015,233000,Real Estate,Building operators
STAG,Stag Industrial Inc. Common Stock,$32.25,-0.84,-2.539%,5779730061.00,United States,2011,760235,Real Estate,Real Estate Investment Trusts
STAR          ,iStar Inc. Common Stock,$7.53,0.02,0.266%,652831023.00,United States,,767756,Real Estate,Real Estate Investment Trusts
STOR,STORE Capital Corporation Common Stock,$32.03,0.00,0.00%,9054426078.00,United States,2014,2355595,Real Estate,Real Estate Investment Trusts
STRS,Stratus Properties Inc. Common Stock,$19.27,0.18,0.943%,157634227.00,United States,,19178,Real Estate,Homebuilding
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,$18.66,-0.53,-2.762%,5776843001.00,United States,2009,2412139,Real Estate,Real Estate Investment Trusts
SUI,Sun Communities Inc. Common Stock,$141.40,-2.23,-1.553%,17518078522.00,United States,1993,343859,Real Estate,Real Estate Investment Trusts
SVC,Service Properties Trust Common Stock,$7.06,-0.10,-1.397%,1168100489.00,United States,,962849,Real Estate,Real Estate Investment Trusts
TPHS,Trinity Place Holdings Inc. Common Stock,$0.68,-0.0197,-2.815%,25097346.00,,,30844,Real Estate,Real Estate
TPTA,Terra Property Trust Inc. 6.00% Notes due 2026,$19.85,0.00,0.00%,0.00,,2021,131,Real Estate,Real Estate Investment Trusts
TRNO,Terreno Realty Corporation Common Stock,$55.98,-1.18,-2.064%,4258215489.00,United States,2010,352074,Real Estate,Real Estate Investment Trusts
TRTX,TPG RE Finance Trust Inc. Common Stock,$6.57,-0.59,-8.24%,508561493.00,United States,2017,870685,Real Estate,Real Estate Investment Trusts
TWO,Two Harbors Investment Corp,$15.53,-0.54,-3.36%,1341396824.00,United States,,880069,Real Estate,Real Estate Investment Trusts
TWOA,two Class A Ordinary Shares,$10.07,0.00,0.00%,276176044.00,,2021,3815,Real Estate,Real Estate Investment Trusts
UBA,Urstadt Biddle Properties Inc. Common Stock,$18.63,-0.26,-1.376%,747373525.00,United States,,95723,Real Estate,Real Estate Investment Trusts
UBP,Urstadt Biddle Properties Inc. Common Stock,$18.17,0.05,0.276%,728919858.00,United States,,1118,Real Estate,Real Estate Investment Trusts
UDR,UDR Inc. Common Stock,$37.94,-0.58,-1.506%,12351055133.00,United States,,1660112,Real Estate,Real Estate Investment Trusts
UE,Urban Edge Properties Common Shares of Beneficial Interest,$13.91,-0.33,-2.317%,1633564541.00,United States,2015,899490,Real Estate,Real Estate Investment Trusts
UHT,Universal Health Realty Income Trust Common Stock,$47.51,-0.48,-1.00%,655742902.00,United States,,51310,Real Estate,Real Estate Investment Trusts
UMH,UMH Properties Inc. Common Stock,$15.86,-0.34,-2.099%,883960700.00,United States,1994,285779,Real Estate,Real Estate Investment Trusts
UNIT,Uniti Group Inc. Common Stock,$5.46,-0.20,-3.534%,1295112273.00,United States,,1264918,Real Estate,Real Estate Investment Trusts
VICI,VICI Properties Inc. Common Stock,$32.19,-0.53,-1.62%,31002119727.00,,2018,2797820,Real Estate,Real Estate Investment Trusts
VNO,Vornado Realty Trust Common Stock,$20.89,-0.63,-2.928%,4007050529.00,United States,,2449557,Real Estate,Real Estate Investment Trusts
VRE,Veris Residential Inc. Common Stock,$15.75,-0.27,-1.685%,1434565802.00,United States,,447772,Real Estate,Real Estate Investment Trusts
VSTA,Vasta Platform Limited Class A Ordinary Shares,$4.00,0.02,0.503%,330419172.00,Brazil,2020,175459,Real Estate,Other Consumer Services
VTR,Ventas Inc. Common Stock,$44.81,-1.01,-2.204%,17911362908.00,United States,,1502067,Real Estate,Real Estate Investment Trusts
VTRU,Vitru Limited Common Shares,$22.01,0.11,0.502%,736703533.00,Brazil,2020,23270,Real Estate,Other Consumer Services
WAFU,Wah Fu Education Group Limited Ordinary Shares,$2.19,-0.125,-5.40%,9594462.00,China,2019,12817,Real Estate,Other Consumer Services
WE,WeWork Inc. Class A Common Stock,$1.08,0.02,1.887%,764700762.00,,,12568062,Real Estate,Real Estate
WELL,Welltower Inc. Common Stock,$64.84,-1.10,-1.668%,30638290559.00,United States,,1648275,Real Estate,Real Estate Investment Trusts
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,$1.37,-0.09,-6.164%,13563000.00,United States,2012,3677,Real Estate,Real Estate Investment Trusts
WHLRD,Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock,$12.99,0.00,0.00%,0.00,United States,,4275,Real Estate,Real Estate Investment Trusts
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$1.52,-0.0799,-4.994%,0.00,United States,,2048,Real Estate,Real Estate Investment Trusts
WMC,Western Asset Mortgage Capital Corporation Common Stock,$9.95,0.13,1.324%,60078200.00,United States,2012,102476,Real Estate,Real Estate Investment Trusts
WPC,W. P. Carey Inc. REIT,$78.58,-1.10,-1.381%,16347210980.00,United States,,666460,Real Estate,Real Estate Investment Trusts
WSR,Whitestone REIT Common Shares,$9.39,-0.20,-2.086%,463735160.00,United States,2010,213690,Real Estate,Real Estate Investment Trusts
WY,Weyerhaeuser Company Common Stock,$30.63,-0.84,-2.669%,22541137710.00,United States,,2244117,Real Estate,Real Estate Investment Trusts
XHR,Xenia Hotels & Resorts Inc. Common Stock,$12.80,-0.26,-1.991%,1457251571.00,United States,2015,392547,Real Estate,Real Estate Investment Trusts
YQ,17 Education & Technology Group Inc. American Depositary Shares,$1.84,-0.24,-11.538%,93948744.00,China,2020,282931,Real Estate,Other Consumer Services
ZCMD,Zhongchao Inc. Class A Ordinary Shares,$1.205,0.055,4.783%,28395909.00,China,2020,10460,Real Estate,Other Consumer Services
